id,title,subtitle,source_url,content,published_date,event_start_date,event_end_date
flup-57622,"Estágios em Brno, República Checa","Universidade de Masaryk, site de estágios",https://sigarra.up.pt/flup/pt/noticias_geral.ver_noticia?p_nr=57622,"<div><img src=""https://sigarra.up.pt/flup/pt/noticias_web.imagem?p_id=57622"">


<p>A Universidade de Masaryk, na cidade de Brno, Rep&#250;blica Checa, disponibiliza um site onde podem ser encontrados est&#225;gios, oferecidos por empresas locais, que poder&#227;o ter interesse para estudantes universit&#225;rios &#224; procura de um est&#225;gio no extrangeiro. Informa&#231;&#245;es para um contacto direto com as empresas podem ser consultadas em: www.internship.muni.cz.</p>








</div>",2017-03-01,,
fbaup-13521,«Sombra Eléctrica 0717» | Exposição de Paulo Freire de Almeida,Museu FBAUP | 03 março | 17h,https://sigarra.up.pt/fbaup/pt/noticias_geral.ver_noticia?p_nr=13521,"<div><p><strong>3&#160;a 17 de mar&#231;o&#160;2017<br></strong><br>S&#233;rie de desenhos de paisagem realizados entre 2007 e 2017, funcionando como uma cr&#243;nica gr&#225;fica do espa&#231;o quotidiano e pr&#243;ximo da experi&#234;ncia vivencial do autor. Nestes exerc&#237;cios procura-se tamb&#233;m a pr&#225;tica do desenho como experi&#234;ncia de estar no lugar, durante um per&#237;odo significativo de tempo. Os desenhos encontram-se publicados no site Sombra El&#233;ctrica: http://sombraelectrica.blogspot.pt/<strong><br></strong>-<br>Org: Departamento de Desenho</p>


<p>Mais informa&#231;&#245;es:&#160; http://www.fba.up.pt/2017/03/01/sombra-eletrica/</p>
                                    







</div>",2017-03-01,2017-03-03,2017-03-03
fmup-34674,Simpósio Forces in Cell Biology,1 de junho 2017 | i3S,https://sigarra.up.pt/fmup/pt/noticias_geral.ver_noticia?p_nr=34674,"<div>
<img src=""https://sigarra.up.pt/fmup/pt/noticias_geral.noticias_cont?p_id=F-378364507/0001%20(7).jpg"">


<br>


<p><strong>A participa&#231;&#227;o &#233; gratuita, mas de inscri&#231;&#227;o obrigat&#243;ria.</strong></p>








</div>",2017-03-01,,
fmup-34734,"Seminário ""Debatendo a Procriação Medicamente Assistida""",16 e 17 de março de 2017 | FDUP,https://sigarra.up.pt/fmup/pt/noticias_geral.ver_noticia?p_nr=34734,"<div><p>Nos dias&#160;<strong>16 e 17 de mar&#231;o de 2017</strong>&#160;ter&#225; lugar&#160;na<strong> Faculdade de Direito da Universidade do Porto </strong>um<strong>&#160;</strong>Semin&#225;rio subordinado ao tema<strong> &#8220;Debatendo a Procria&#231;&#227;o Medicamente Assistida &#8211; Projeto PMA, CIJE, FDUP&#8221;</strong>. <br><br>O semin&#225;rio insere-se na linha de investiga&#231;&#227;o do CIJE - <em>Novos direitos ou novos objetos para o Direito?</em>. Resultando &#243;bvia a constata&#231;&#227;o de que, enquanto forma de regula&#231;&#227;o social, nunca o Direito se viu t&#227;o assediado por uma conce&#231;&#227;o aberta do humano, nem t&#227;o perme&#225;vel &#224; opini&#227;o p&#250;blica, esta linha visa abordar criticamente os temas que as mudan&#231;as na vida social trazem &#224; regula&#231;&#227;o da ci&#234;ncia jur&#237;dica enquanto paradigma de coexist&#234;ncia fundado na dignidade da pessoa humana.&#160;<br><br>Neste &#226;mbito, o Semin&#225;rio em causa discute o processo legislativo conducente &#224; reforma do regime jur&#237;dico aplic&#225;vel, em Portugal, &#224; Procria&#231;&#227;o Medicamente Assistida (P.M.A.), o que se revela de reflex&#227;o de muita relev&#226;ncia e atualidade.<strong><br><br>As inscri&#231;&#245;es </strong><strong>poder&#227;o ser efetuadas at&#233; o dia 9 de mar&#231;o atrav&#233;s do link: <br></strong>https://docs.google.com/forms/d/1ljl1MfsG6qk2_ASJHWLToekWrRPDZ8D8qlgwLnfAwII/edit<br><br><br>
<img src=""https://sigarra.up.pt/fmup/pt/noticias_geral.noticias_cont?p_id=F-1924758913/0001%20(7).jpg""></p>


<p>&#160;</p>
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   







</div>",2017-03-01,,
ffup-17675,Apresentação de Seminário do Mestrado em Controlo de Qualidade pela Licenciada Sarah Alexandra Pais Pereira,"Dia 09 de março de 2017, às 10.00 horas na Biblioteca do Departamento de Química",https://sigarra.up.pt/ffup/pt/noticias_geral.ver_noticia?p_nr=17675,"<div><p>Semin&#225;rio: ""Mesoporous s&#237;lica nanoparticles for the incorporation of anticancer agentes &#8211; a review""
<br>
<br>
<br>
J&#250;ri:
<br>
<br>
Prof. Doutora Maria Beatriz Prior Pinto Oliveira
<br>
Doutora Cl&#225;udia Daniela Oliveira de Lacerda Nunes Pinho
<br>
Prof. Doutora Maria L&#250;cia M. Ferreira de Sousa Saraiva

</p>





</div>",2017-03-01,,
ffup-17695,Recantinho-Convívio de grupos de Fado,Dia 2 de março de 2017 às 21.30 no Complexo ICBAS/FFUP,https://sigarra.up.pt/ffup/pt/noticias_geral.ver_noticia?p_nr=17695,"<div><p>O RECANTINHO surge como uma vers&#227;o mais informal e descontra&#237;da do evento mais conhecido, e que j&#225; vai com duas edi&#231;&#245;es, o RECANTVS.</p>


<p>Esta atividade ter&#225; o objetivo de &#8220;reaproximar o Fado aos estudantes, e o Fado aos Grupos de Fado&#8221;, de forma a que os participantes, atrav&#233;s de uma intera&#231;&#227;o &#237;ntima com os grupos de fado convidados, adquiram uma forte componente cultural, musical e hist&#243;rica em rela&#231;&#227;o a estes &#250;ltimos. Ser&#225; o espa&#231;o ideal para a discuss&#227;o no que toca ao futuro do Fado do estudante em Portugal e no mundo entre diferentes grupos de fado da Academia Portuense.<br><br>
<img src=""https://sigarra.up.pt/ffup/pt/noticias_geral.noticias_cont?p_id=F411481865/Recantinho_2_marco_2017.jpg""></p>








</div>",2017-03-01,2017-03-02,2017-03-02
icbas-21227,VIII ICTUNAS - Festival de Tunas Femininas de Biomédicas ,9 de março de 2017 - Teatro Sá da Bandeira - Porto ,https://sigarra.up.pt/icbas/pt/noticias_geral.ver_noticia?p_nr=21227,"<div><p>
<img src=""https://sigarra.up.pt/icbas/pt/noticias_geral.noticias_cont?p_id=F2021892759/Tuna.jpg""><br><br>A Tuna Feminina de Biom&#233;dicas apresenta&#160;o VIII ICTUNAS &#8211; Festival de Tunas Femininas de Biom&#233;dicas &#8211; que decorrer&#225; dia 9 de mar&#231;o, no Teatro S&#225; da Bandeira, no Porto.</p>


<p>Seguindo as pegadas de outras edi&#231;&#245;es do ICTUNAS, nesta oitava edi&#231;&#227;o incluiram no evento uma vertente de car&#225;ter solid&#225;rio, j&#225; que acreditam que a responsabilidade social &#233; priorit&#225;ria. <br>Deste modo, estabeleceram uma parceria com a Associa&#231;&#227;o de Voluntariado Universit&#225;rio - VO.U. e com a Associa&#231;&#227;o de Pais e Amigos do Cidad&#227;o Portador de Defici&#234;ncia Mental &#8211; APPACDM. <br>Pretendem, com esta iniciativa, n&#227;o s&#243; sensibilizar, como tamb&#233;m divulgar os projetos destas organiza&#231;&#245;es na comunidade universit&#225;ria e na popula&#231;&#227;o em geral.</p>


<p>O VIII ICTUNAS contar&#225; com a presen&#231;a de sete tunas, das quais, quatro a concurso: as FANS &#8211; Tuna Feminina da Universidade de Coimbra, a LEGISLATUNA &#8211; Tuna Feminina de Direito do Porto, a TESUNA &#8211; Tuna Feminina de Tecnologia da Sa&#250;de do Porto e a TUNAFE &#8211; Tuna Feminina de Engenharia do Porto. <br>As tunas extra-concurso ser&#227;o a TAB &#8211; Tuna Acad&#233;mica de Biom&#233;dicas, a TEUP &#8211; Tuna de Engenharia da Universidade do Porto e, como n&#227;o podia deixar de ser, a Tuna Feminina de Biom&#233;dicas, que promete uma atua&#231;&#227;o repleta de momentos in&#233;ditos!</p>


<p>O tema do Festival &#233; &#8220;Volta ao Mundo&#8221;, por isso convidamos toda a comunidade a juntarem-se a esta viagem!</p>


<p>Contam com todos no&#160;dia 9 de mar&#231;o! Apare&#231;am!</p>








</div>",2017-03-01,2017-03-09,2017-03-09
fmup-34675,"Ciclo de Conferências ""Consequências Temporárias e Permanentes dos Traumatismos"" | Avaliação Clínica e Pericial",Sala 4 CIM,https://sigarra.up.pt/fmup/pt/noticias_geral.ver_noticia?p_nr=34675,"<div>
<img src=""https://sigarra.up.pt/fmup/pt/noticias_geral.noticias_cont?p_id=F-807850153/poster.jpg"">








</div>",2017-03-01,,
fmup-34774,Curso de Formação | Proteção de Dados Pessoais nos Estabelecimentos de Ensino,17 de março,https://sigarra.up.pt/fmup/pt/noticias_geral.ver_noticia?p_nr=34774,"<div>
<img src=""https://sigarra.up.pt/fmup/pt/noticias_geral.noticias_cont?p_id=F-2065633300/BANNERS_SECTORES_MAR_2017_ENSINO%20(1).jpg"">


<br>


<p><strong>Informa&#231;&#245;es e Inscri&#231;&#245;es</strong>:<br><br>Centro de Forma&#231;&#227;o em Prote&#231;&#227;o de Dados: www.proteccaodedados.pt&#160;<br>Telefone do Secretariado: (+351) 213 243 750<br>Correio Electr&#243;nico do Secretariado: secretariado@proteccaodedados.pt</p>








</div>",2017-03-01,,
fmup-34714,CINTESIS apresenta nova app dirigida a crianças com asma,4 de março | 15h00 | Reitoria U.Porto,https://sigarra.up.pt/fmup/pt/noticias_geral.ver_noticia?p_nr=34714,"<div>
<img src=""https://sigarra.up.pt/fmup/pt/noticias_geral.noticias_cont?p_id=F1054439440/cintesis.jpg"">


<br>
<br>
O 
<strong>CINTESIS &#8211; Centro de Investiga&#231;&#227;o em Tecnologias e Servi&#231;os de Sa&#250;de</strong>
 promove no pr&#243;ximo dia 4 de mar&#231;o, a partir das 15h00, no &#225;trio da Reitoria da Universidade do Porto, uma sess&#227;o de demonstra&#231;&#227;o da 
<strong><em>app</em> ARCADE</strong>
, uma aplica&#231;&#227;o m&#243;vel especialmente pensada para crian&#231;as com asma.
<br>
<br>
O objetivo da sess&#227;o &#233; que as crian&#231;as e os pais experimentem esta nova aplica&#231;&#227;o m&#243;vel, e que esta possa servir no futuro como uma ferramenta&#160;&#250;til para o seguimento das crian&#231;as com asma, permitindo, inclusivamente, detetar poss&#237;veis situa&#231;&#245;es de emerg&#234;ncia.
<br>
<br>
Na altura, ser&#227;o disponibilizados 
<em>tablets</em>
/smartphones aos participantes para que possam explorar os jogos que integram a 
<em>APP</em>
 ARCADE. A utiliza&#231;&#227;o da&#160;aplica&#231;&#227;o m&#243;vel impica o uso dos dedos e do sopro - os jogadores t&#234;m de soprar para controlar os jogos. Os dados recolhidos atrav&#233;s do sopro permitir&#227;o, futuramente, analisar par&#226;metros de fun&#231;&#227;o respirat&#243;ria, fundamentais na monitoriza&#231;&#227;o do controlo da asma.

<p>A <em>app</em>&#160;resulta da investiga&#231;&#227;o realizada pela MEDIDA, spin-off do CINTESIS, com a coordena&#231;&#227;o de Jo&#227;o Fonseca, m&#233;dico imunoalergologista, professor e investigador desta Unidade I&amp;D da Universidade do Porto. &#201; de salientar que a MEDIDA/CINTESIS j&#225; desenvolveu outras aplica&#231;&#245;es na &#225;rea da asma e da rinite al&#233;rgica, tais como a ZASma e o mCARAT, que est&#227;o dispon&#237;veis para <em>download.</em></p>


<p>Destinado a crian&#231;as com asma entre os 4 e os 10 anos de idade e respetivos pais, <strong>o evento &#233; gratuito, mas carece de&#160;inscri&#231;&#227;o pr&#233;via atrav&#233;s do seguinte formul&#225;rio: https://goo.gl/AObjCo</strong></p>








</div>",2017-03-01,,
