precision: 25.73	recall: 22.74	FB1: 24.07	M_FB1: 24.15	accuracy: 86.06
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 29.34	recall: 36.25	FB1: 31.95	MFB1: 32.43	ACONTECIMENTO_ORGANIZADO
precision: 41.08	recall: 36.28	FB1: 36.73	MFB1: 38.53	ORGANIZACAO_ADMINISTRACAO
precision: 28.86	recall: 35.14	FB1: 31.54	MFB1: 31.69	TEMPO_TEMPO_CALEND
precision: 03.57	recall: 01.92	FB1: 02.50	MFB1: 02.50	OBRA_ARTE
precision: 20.29	recall: 15.24	FB1: 16.70	MFB1: 17.41	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 30.24	recall: 19.85	FB1: 23.88	MFB1: 23.97	PESSOA_INDIVIDUAL
precision: 23.67	recall: 12.46	FB1: 15.95	MFB1: 16.33	LOCAL_FISICO
precision: 43.63	recall: 39.51	FB1: 41.41	MFB1: 41.47	LOCAL_HUMANO
precision: 25.27	recall: 19.75	FB1: 21.74	MFB1: 22.17	ORGANIZACAO_INSTITUICAO
precision: 03.04	recall: 02.94	FB1: 02.92	MFB1: 02.99	OBRA_REPRODUZIDA
precision: 08.37	recall: 10.45	FB1: 09.26	MFB1: 09.29	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 44.34	recall: 16.73	FB1: 24.10	MFB1: 24.29	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 02.63	recall: 06.25	FB1: 03.70	MFB1: 03.70	PESSOA_POVO
precision: 14.58	recall: 03.83	FB1: 05.63	MFB1: 06.07	LOCAL_VIRTUAL
precision: 26.78	recall: 20.16	FB1: 22.98	MFB1: 23.00	PESSOA_GRUPOMEMBRO
precision: 18.38	recall: 10.49	FB1: 13.32	MFB1: 13.35	ABSTRACCAO_DISCIPLINA
precision: 01.19	recall: 02.08	FB1: 01.51	MFB1: 01.51	TEMPO_DURACAO
precision: 05.00	recall: 05.55	FB1: 05.26	MFB1: 05.26	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 12.34	recall: 16.86	FB1: 14.19	MFB1: 14.25	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 01.25	recall: 01.67	FB1: 01.43	MFB1: 01.43	VALOR_MOEDA
precision: 03.70	recall: 04.35	FB1: 04.00	MFB1: 04.00	ACONTECIMENTO_EFEMERIDE
precision: 53.89	recall: 10.66	FB1: 16.89	MFB1: 17.80	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 22.80	recall: 06.06	FB1: 09.29	MFB1: 09.58	ORGANIZACAO_EMPRESA
precision: 100.00	recall: 62.04	FB1: 68.57	MFB1: 76.57	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 12.27	recall: 11.57	FB1: 10.80	MFB1: 11.91	OBRA_PLANO
precision: 10.75	recall: 11.26	FB1: 10.77	MFB1: 11.00	PESSOA_CARGO
