precision: 27.23	recall: 25.55	FB1: 26.34	M_FB1: 26.36	accuracy: 86.60
precision: 20.92	recall: 20.74	FB1: 20.78	MFB1: 20.83	ACONTECIMENTO
precision: 38.85	recall: 15.99	FB1: 22.33	MFB1: 22.66	COISA
precision: 36.63	recall: 24.40	FB1: 29.17	MFB1: 29.29	ORGANIZACAO
precision: 21.63	recall: 35.84	FB1: 26.96	MFB1: 26.98	TEMPO
precision: 07.33	recall: 07.38	FB1: 07.17	MFB1: 07.35	OBRA
precision: 17.45	recall: 18.95	FB1: 18.15	MFB1: 18.17	VALOR
precision: 08.98	recall: 10.58	FB1: 09.13	MFB1: 09.71	OUTRO
precision: 32.14	recall: 22.45	FB1: 26.43	MFB1: 26.44	PESSOA
precision: 40.79	recall: 39.34	FB1: 39.11	MFB1: 40.05	LOCAL
precision: 14.86	recall: 09.00	FB1: 11.14	MFB1: 11.21	ABSTRACCAO
