precision: 50.57	recall: 27.04	FB1: 35.22	M_FB1: 35.24	accuracy: 87.10
precision: 44.62	recall: 23.71	FB1: 30.89	MFB1: 30.96	ACONTECIMENTO
precision: 65.21	recall: 14.42	FB1: 23.47	MFB1: 23.61	COISA
precision: 46.23	recall: 23.69	FB1: 31.14	MFB1: 31.33	ORGANIZACAO
precision: 53.79	recall: 38.62	FB1: 44.89	MFB1: 44.96	TEMPO
precision: 16.49	recall: 08.03	FB1: 10.21	MFB1: 10.80	OBRA
precision: 44.54	recall: 24.48	FB1: 31.23	MFB1: 31.60	VALOR
precision: 14.04	recall: 08.63	FB1: 09.59	MFB1: 10.69	OUTRO
precision: 58.92	recall: 25.26	FB1: 35.25	MFB1: 35.36	PESSOA
precision: 55.38	recall: 41.20	FB1: 47.13	MFB1: 47.25	LOCAL
precision: 34.99	recall: 08.30	FB1: 13.33	MFB1: 13.42	ABSTRACCAO
