precision: 27.71	recall: 35.81	FB1: 30.83	AVG_M_FB1: 31.07	T_M_FB1: 31.25	accuracy: 94.09
precision: 08.73	recall: 07.14	FB1: 06.54	AVG_M_FB1: 07.69	T_M_FB1: 07.86	LOCAL_FISICO_ILHA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_OBRA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_PROGRAMA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_LIVRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_OUTRO
precision: 07.27	recall: 11.15	FB1: 07.54	AVG_M_FB1: 07.61	T_M_FB1: 08.80	LOCAL_VIRTUAL_COMSOCIAL
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_FILME
precision: 12.84	recall: 11.97	FB1: 11.70	AVG_M_FB1: 12.39	T_M_FB1: 12.39	LOCAL_HUMANO_CONSTRUCAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	TEMPO_TEMPO_CALEND_HORA
precision: 18.90	recall: 09.62	FB1: 12.14	AVG_M_FB1: 12.41	T_M_FB1: 12.75	LOCAL_FISICO_RELEVO
precision: 01.44	recall: 01.35	FB1: 01.35	AVG_M_FB1: 01.35	T_M_FB1: 01.39	LOCAL_HUMANO_RUA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_MUSICA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_EDIFICIO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_HUMANO_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ORGANIZACAO_EMPRESA_SUB
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	TEMPO_TEMPO_CALEND_INTERVALO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_AGUACURSO
precision: 24.02	recall: 40.72	FB1: 29.76	AVG_M_FB1: 30.04	T_M_FB1: 30.22	TEMPO_TEMPO_CALEND_DATA
precision: 16.25	recall: 16.25	FB1: 16.25	AVG_M_FB1: 16.25	T_M_FB1: 16.25	LOCAL_FISICO_PLANETA
precision: 64.26	recall: 64.99	FB1: 62.85	AVG_M_FB1: 64.57	T_M_FB1: 64.62	LOCAL_HUMANO_PAIS
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_SITIO
precision: 16.14	recall: 16.82	FB1: 13.17	AVG_M_FB1: 14.36	T_M_FB1: 16.47	LOCAL_HUMANO_REGIAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ORGANIZACAO_ADMINISTRACAO_SUB
precision: 10.87	recall: 11.38	FB1: 10.34	AVG_M_FB1: 10.34	T_M_FB1: 11.12	ORGANIZACAO_INSTITUICAO_SUB
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_TEATRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_PINTURA
precision: 35.73	recall: 31.76	FB1: 29.19	AVG_M_FB1: 32.10	T_M_FB1: 33.63	LOCAL_FISICO_AGUAMASSA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_CONSTRUCAO
precision: 08.65	recall: 04.93	FB1: 05.72	AVG_M_FB1: 06.21	T_M_FB1: 06.28	LOCAL_FISICO_REGIAO
precision: 57.87	recall: 45.19	FB1: 49.57	AVG_M_FB1: 50.73	T_M_FB1: 50.75	LOCAL_HUMANO_DIVISAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_OUTRO
