precision: 25.37	recall: 24.34	FB1: 24.78	AVG_M_FB1: 24.84	T_M_FB1: 24.84	accuracy: 86.20
precision: 16.46	recall: 16.46	FB1: 16.46	AVG_M_FB1: 16.46	T_M_FB1: 16.46	LOCAL_OUTRO
precision: 23.88	recall: 29.05	FB1: 24.93	AVG_M_FB1: 26.12	T_M_FB1: 26.21	ACONTECIMENTO_ORGANIZADO
precision: 32.91	recall: 33.01	FB1: 31.39	AVG_M_FB1: 32.91	T_M_FB1: 32.96	ORGANIZACAO_ADMINISTRACAO
precision: 23.55	recall: 36.11	FB1: 28.10	AVG_M_FB1: 28.32	T_M_FB1: 28.51	TEMPO_TEMPO_CALEND
precision: 07.79	recall: 09.13	FB1: 07.29	AVG_M_FB1: 07.80	T_M_FB1: 08.41	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OBJECTO
precision: 29.51	recall: 20.03	FB1: 23.68	AVG_M_FB1: 23.86	T_M_FB1: 23.87	PESSOA_INDIVIDUAL
precision: 19.19	recall: 13.92	FB1: 14.90	AVG_M_FB1: 15.82	T_M_FB1: 16.14	LOCAL_FISICO
precision: 49.83	recall: 44.60	FB1: 46.62	AVG_M_FB1: 47.05	T_M_FB1: 47.07	LOCAL_HUMANO
precision: 21.98	recall: 19.43	FB1: 20.07	AVG_M_FB1: 20.63	T_M_FB1: 20.63	ORGANIZACAO_INSTITUICAO
precision: 03.89	recall: 04.37	FB1: 03.62	AVG_M_FB1: 04.06	T_M_FB1: 04.11	OBRA_REPRODUZIDA
precision: 09.61	recall: 18.36	FB1: 12.11	AVG_M_FB1: 12.52	T_M_FB1: 12.62	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOIND
precision: 33.29	recall: 13.08	FB1: 17.75	AVG_M_FB1: 18.76	T_M_FB1: 18.78	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_POVO
precision: 05.90	recall: 07.06	FB1: 05.88	AVG_M_FB1: 06.37	T_M_FB1: 06.43	LOCAL_VIRTUAL
precision: 26.28	recall: 17.92	FB1: 20.13	AVG_M_FB1: 21.28	T_M_FB1: 21.31	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_ESTADO
precision: 15.33	recall: 10.45	FB1: 11.79	AVG_M_FB1: 12.42	T_M_FB1: 12.43	ABSTRACCAO_DISCIPLINA
precision: 01.50	recall: 02.34	FB1: 01.70	AVG_M_FB1: 01.74	T_M_FB1: 01.83	TEMPO_DURACAO
precision: 35.67	recall: 37.10	FB1: 33.12	AVG_M_FB1: 36.12	T_M_FB1: 36.37	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_MEMBROCLASSE
precision: 16.53	recall: 19.21	FB1: 17.35	AVG_M_FB1: 17.77	T_M_FB1: 17.77	VALOR_QUANTIDADE
precision: 16.14	recall: 23.34	FB1: 15.46	AVG_M_FB1: 17.96	T_M_FB1: 19.08	TEMPO_FREQUENCIA
precision: 07.20	recall: 03.94	FB1: 03.79	AVG_M_FB1: 04.99	T_M_FB1: 05.09	VALOR_MOEDA
precision: 15.05	recall: 17.04	FB1: 15.23	AVG_M_FB1: 15.90	T_M_FB1: 15.98	ACONTECIMENTO_EFEMERIDE
precision: 18.73	recall: 10.37	FB1: 11.06	AVG_M_FB1: 13.12	T_M_FB1: 13.35	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_IDEIA
precision: 18.41	recall: 05.89	FB1: 08.52	AVG_M_FB1: 08.86	T_M_FB1: 08.93	ORGANIZACAO_EMPRESA
precision: 85.42	recall: 59.76	FB1: 68.04	AVG_M_FB1: 70.00	T_M_FB1: 70.32	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OUTRO
precision: 11.41	recall: 17.34	FB1: 12.42	AVG_M_FB1: 13.55	T_M_FB1: 13.77	OBRA_PLANO
precision: 10.49	recall: 18.41	FB1: 12.51	AVG_M_FB1: 13.23	T_M_FB1: 13.36	PESSOA_CARGO
