precision: 29.66	recall: 28.01	FB1: 28.78	AVG_M_FB1: 28.82	T_M_FB1: 28.82	accuracy: 81.92
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_OUTRO
precision: 29.29	recall: 05.73	FB1: 09.14	AVG_M_FB1: 09.57	T_M_FB1: 09.58	ACONTECIMENTO_ORGANIZADO
precision: 41.70	recall: 08.85	FB1: 13.89	AVG_M_FB1: 14.55	T_M_FB1: 14.60	ORGANIZACAO_ADMINISTRACAO
precision: 28.32	recall: 39.22	FB1: 32.51	AVG_M_FB1: 32.89	T_M_FB1: 32.89	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OBJECTO
precision: 36.44	recall: 52.00	FB1: 42.33	AVG_M_FB1: 42.84	T_M_FB1: 42.85	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO
precision: 27.03	recall: 52.47	FB1: 35.23	AVG_M_FB1: 35.67	T_M_FB1: 35.68	LOCAL_HUMANO
precision: 17.31	recall: 12.97	FB1: 13.49	AVG_M_FB1: 14.83	T_M_FB1: 14.83	ORGANIZACAO_INSTITUICAO
precision: 23.64	recall: 13.80	FB1: 16.72	AVG_M_FB1: 17.39	T_M_FB1: 17.43	OBRA_REPRODUZIDA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOIND
precision: 13.21	recall: 03.58	FB1: 05.16	AVG_M_FB1: 05.53	T_M_FB1: 05.64	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_POVO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL
precision: 20.57	recall: 04.18	FB1: 06.67	AVG_M_FB1: 06.93	T_M_FB1: 06.95	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_ESTADO
precision: 02.50	recall: 00.15	FB1: 00.29	AVG_M_FB1: 00.29	T_M_FB1: 00.29	ABSTRACCAO_DISCIPLINA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_MEMBROCLASSE
precision: 27.16	recall: 16.60	FB1: 19.96	AVG_M_FB1: 20.58	T_M_FB1: 20.61	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	TEMPO_FREQUENCIA
precision: 25.94	recall: 12.63	FB1: 16.19	AVG_M_FB1: 16.94	T_M_FB1: 16.99	VALOR_MOEDA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_IDEIA
precision: 11.25	recall: 00.69	FB1: 01.26	AVG_M_FB1: 01.28	T_M_FB1: 01.29	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OUTRO
precision: 15.42	recall: 03.17	FB1: 04.81	AVG_M_FB1: 05.05	T_M_FB1: 05.26	OBRA_PLANO
precision: 08.75	recall: 00.95	FB1: 01.71	AVG_M_FB1: 01.71	T_M_FB1: 01.71	PESSOA_CARGO
