processed 6563 tokens with 603 phrases; found: 18 phrases; correct: 1.
accuracy:  81.82%; precision:   5.56%; recall:   0.17%; FB1:   0.32
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   0.58%; FB1:   1.16  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  13
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
