processed 9321 tokens with 872 phrases; found: 36 phrases; correct: 5.
accuracy:  78.89%; precision:  13.89%; recall:   0.57%; FB1:   1.10
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  50.00%; recall:   0.74%; FB1:   1.45  2
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
            TEMPO: precision:  12.90%; recall:   2.68%; FB1:   4.44  31
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
