processed 3518 tokens with 686 phrases; found: 444 phrases; correct: 221.
accuracy:  83.00%; precision:  49.77%; recall:  32.22%; FB1:  39.12
     I-ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
  I-ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  12
          I-COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
          I-LOCAL: precision:  67.31%; recall:  39.77%; FB1:  50.00  52
           I-OBRA: precision:  35.29%; recall:   7.50%; FB1:  12.37  17
    I-ORGANIZACAO: precision:  55.88%; recall:  22.35%; FB1:  31.93  34
          I-OUTRO: precision: 100.00%; recall:   7.69%; FB1:  14.29  1
         I-PESSOA: precision:  42.11%; recall:  14.95%; FB1:  22.07  38
          I-TEMPO: precision:  49.37%; recall:  62.57%; FB1:  55.19  237
          I-VALOR: precision:  57.45%; recall:  31.40%; FB1:  40.60  47
