processed 5758 tokens with 568 phrases; found: 11 phrases; correct: 6.
accuracy:  81.37%; precision:  54.55%; recall:   1.06%; FB1:   2.07
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   3.60%; FB1:   6.94  5
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            TEMPO: precision:  16.67%; recall:   1.11%; FB1:   2.08  6
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
