processed 6972 tokens with 1362 phrases; found: 1453 phrases; correct: 558.
accuracy:  80.88%; precision:  38.40%; recall:  40.97%; FB1:  39.64
     I-ABSTRACCAO: precision: 100.00%; recall:   1.23%; FB1:   2.44  1
  I-ACONTECIMENTO: precision:  71.43%; recall:   5.38%; FB1:  10.00  7
          I-COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
          I-LOCAL: precision:  29.97%; recall:  51.35%; FB1:  37.85  317
           I-OBRA: precision:  32.26%; recall:  11.90%; FB1:  17.39  31
    I-ORGANIZACAO: precision:  28.50%; recall:  59.80%; FB1:  38.61  214
          I-OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
         I-PESSOA: precision:  50.90%; recall:  50.56%; FB1:  50.73  444
          I-TEMPO: precision:  38.07%; recall:  47.73%; FB1:  42.36  415
          I-VALOR: precision:  11.76%; recall:   8.70%; FB1:  10.00  17
