processed 3593 tokens with 894 phrases; found: 482 phrases; correct: 276.
accuracy:  81.60%; precision:  57.26%; recall:  30.87%; FB1:  40.12
    I-ABSTRACCAO_: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
I-ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
I-ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
I-ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
I-ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
   I-COISA_CLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  I-COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   I-LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   I-LOCAL_HUMANO: precision:  55.70%; recall:  38.26%; FB1:  45.36  79
  I-LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
      I-OBRA_ARTE: precision:  14.29%; recall:  10.00%; FB1:  11.76  7
     I-OBRA_PLANO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
I-OBRA_REPRODUZIDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  27
I-ORGANIZACAO_ADMINISTRACAO: precision:  56.00%; recall:  63.64%; FB1:  59.57  25
I-ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-ORGANIZACAO_INSTITUICAO: precision:  60.49%; recall:  38.89%; FB1:  47.34  81
   I-PESSOA_CARGO: precision:  61.11%; recall:  35.48%; FB1:  44.90  18
I-PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-PESSOA_GRUPOMEMBRO: precision:  66.67%; recall:  18.18%; FB1:  28.57  3
I-PESSOA_INDIVIDUAL: precision:  81.82%; recall:  42.28%; FB1:  55.75  77
  I-PESSOA_MEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    I-PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  I-TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
I-TEMPO_FREQUENCIA: precision:  50.00%; recall:  50.00%; FB1:  50.00  2
 I-TEMPO_GENERICO: precision:  50.00%; recall:   9.09%; FB1:  15.38  2
I-TEMPO_TEMPO_CALEND: precision:  69.90%; recall:  48.98%; FB1:  57.60  103
    I-VALOR_MOEDA: precision:  80.00%; recall:  66.67%; FB1:  72.73  5
I-VALOR_QUANTIDADE: precision:  87.50%; recall:  46.67%; FB1:  60.87  16
