precision: 20.54	recall: 0.64	FB1: 1.23	M_FB1: 1.23	accuracy: 82.30
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO
precision: 07.10	recall: 00.76	FB1: 01.36	MFB1: 01.37	TEMPO
precision: 18.33	recall: 00.69	FB1: 01.32	MFB1: 01.33	OBRA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	VALOR
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA
precision: 94.64	recall: 02.81	FB1: 05.40	MFB1: 05.46	LOCAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO
