precision: 15.18	recall: 20.17	FB1: 17.24	accuracy: 82.33
precision: 07.37	recall: 13.04	FB1: 09.08	PESSOA_CARGO
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_OUTRO
precision: 21.05	recall: 22.52	FB1: 19.87	ACONTECIMENTO_ORGANIZADO
precision: 24.55	recall: 23.42	FB1: 22.19	ORGANIZACAO_ADMINISTRACAO
precision: 20.04	recall: 35.26	FB1: 25.35	TEMPO_TEMPO_CALEND
precision: 05.83	recall: 11.43	FB1: 06.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OBJECTO
precision: 16.35	recall: 17.21	FB1: 16.62	PESSOA_INDIVIDUAL
precision: 29.50	recall: 12.92	FB1: 16.56	LOCAL_FISICO
precision: 47.23	recall: 37.89	FB1: 41.31	LOCAL_HUMANO
precision: 13.80	recall: 14.38	FB1: 13.75	ORGANIZACAO_INSTITUICAO
precision: 01.88	recall: 00.72	FB1: 01.00	OBRA_REPRODUZIDA
precision: 04.05	recall: 07.86	FB1: 05.01	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOIND
precision: 01.29	recall: 08.78	FB1: 02.21	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_
precision: 12.50	recall: 20.00	FB1: 14.00	PESSOA_POVO
precision: 04.50	recall: 06.43	FB1: 04.67	LOCAL_VIRTUAL
precision: 09.38	recall: 18.30	FB1: 08.02	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_ESTADO
precision: 00.77	recall: 00.43	FB1: 00.56	ABSTRACCAO_DISCIPLINA
precision: 01.68	recall: 11.25	FB1: 02.62	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_MEMBROCLASSE
precision: 19.68	recall: 16.32	FB1: 17.12	VALOR_QUANTIDADE
precision: 21.46	recall: 21.74	FB1: 20.63	TEMPO_FREQUENCIA
precision: 06.38	recall: 08.55	FB1: 06.96	VALOR_MOEDA
precision: 08.33	recall: 12.62	FB1: 09.33	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_IDEIA
precision: 13.33	recall: 03.38	FB1: 05.13	ORGANIZACAO_EMPRESA
precision: 66.67	recall: 50.00	FB1: 55.56	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OUTRO
precision: 03.93	recall: 15.00	FB1: 05.65	OBRA_PLANO
precision: 00.00	recall: 00.00	FB1: 00.00	OUTRO_
