processed 4862 tokens with 510 phrases; found: 489 phrases; correct: 92.
accuracy:  81.80%; precision:  18.81%; recall:  18.04%; FB1:  18.42
       ABSTRACCAO: precision:   6.25%; recall:   6.25%; FB1:   6.25  16
    ACONTECIMENTO: precision:  42.86%; recall:  13.04%; FB1:  20.00  7
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  12
            LOCAL: precision:  48.84%; recall:  47.73%; FB1:  48.28  86
             OBRA: precision:   2.50%; recall:   4.17%; FB1:   3.12  40
      ORGANIZACAO: precision:   7.32%; recall:   7.69%; FB1:   7.50  41
            OUTRO: precision: 100.00%; recall:  33.33%; FB1:  50.00  1
           PESSOA: precision:  10.67%; recall:   4.91%; FB1:   6.72  75
            TEMPO: precision:  16.00%; recall:  26.09%; FB1:  19.83  150
            VALOR: precision:  14.75%; recall:  20.45%; FB1:  17.14  61
