processed 7392 tokens with 521 phrases; found: 9 phrases; correct: 2.
accuracy:  87.07%; precision:  22.22%; recall:   0.38%; FB1:   0.75
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   1.11%; FB1:   2.20  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            TEMPO: precision:  14.29%; recall:   1.02%; FB1:   1.90  7
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
