precision: 27.35	recall: 24.76	FB1: 25.96	M_FB1: 25.99	accuracy: 86.47
precision: 12.50	recall: 12.50	FB1: 12.50	MFB1: 12.50	LOCAL_OUTRO
precision: 24.03	recall: 33.18	FB1: 26.49	MFB1: 27.87	ACONTECIMENTO_ORGANIZADO
precision: 33.75	recall: 32.17	FB1: 31.63	MFB1: 32.94	ORGANIZACAO_ADMINISTRACAO
precision: 28.14	recall: 36.31	FB1: 31.57	MFB1: 31.71	TEMPO_TEMPO_CALEND
precision: 15.00	recall: 11.43	FB1: 12.22	MFB1: 12.97	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 31.30	recall: 20.71	FB1: 24.74	MFB1: 24.92	PESSOA_INDIVIDUAL
precision: 16.08	recall: 12.21	FB1: 13.36	MFB1: 13.88	LOCAL_FISICO
precision: 50.97	recall: 44.89	FB1: 47.40	MFB1: 47.74	LOCAL_HUMANO
precision: 25.49	recall: 22.36	FB1: 23.01	MFB1: 23.82	ORGANIZACAO_INSTITUICAO
precision: 05.37	recall: 05.00	FB1: 04.37	MFB1: 05.18	OBRA_REPRODUZIDA
precision: 08.28	recall: 17.21	FB1: 11.01	MFB1: 11.18	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 41.11	recall: 15.17	FB1: 21.52	MFB1: 22.16	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 04.76	recall: 03.75	FB1: 03.64	MFB1: 04.20	LOCAL_VIRTUAL
precision: 23.95	recall: 16.51	FB1: 18.48	MFB1: 19.54	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 13.91	recall: 08.88	FB1: 10.53	MFB1: 10.84	ABSTRACCAO_DISCIPLINA
precision: 01.11	recall: 00.83	FB1: 00.95	MFB1: 00.95	TEMPO_DURACAO
precision: 44.45	recall: 35.42	FB1: 35.72	MFB1: 39.42	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 15.81	recall: 17.97	FB1: 16.54	MFB1: 16.82	VALOR_QUANTIDADE
precision: 19.40	recall: 24.24	FB1: 20.17	MFB1: 21.55	TEMPO_FREQUENCIA
precision: 01.25	recall: 01.00	FB1: 01.11	MFB1: 01.11	VALOR_MOEDA
precision: 16.48	recall: 19.73	FB1: 17.48	MFB1: 17.96	ACONTECIMENTO_EFEMERIDE
precision: 20.00	recall: 07.78	FB1: 09.43	MFB1: 11.20	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 28.81	recall: 07.16	FB1: 10.97	MFB1: 11.47	ORGANIZACAO_EMPRESA
precision: 100.00	recall: 68.75	FB1: 79.76	MFB1: 81.48	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 11.54	recall: 17.78	FB1: 13.30	MFB1: 13.99	OBRA_PLANO
precision: 09.78	recall: 16.75	FB1: 11.70	MFB1: 12.35	PESSOA_CARGO
