precision: 10.29	recall: 1.25	FB1: 2.16	M_FB1: 2.22	accuracy: 79.20
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_ORGANIZADO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_ADMINISTRACAO
precision: 09.86	recall: 01.15	FB1: 01.90	MFB1: 02.06	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 24.78	recall: 01.09	FB1: 02.07	MFB1: 02.08	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO
precision: 83.67	recall: 04.09	FB1: 07.74	MFB1: 07.80	LOCAL_HUMANO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_INSTITUICAO
precision: 10.00	recall: 00.59	FB1: 01.11	MFB1: 01.11	OBRA_REPRODUZIDA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_VIRTUAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_DISCIPLINA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_DURACAO
precision: 03.33	recall: 02.50	FB1: 02.86	MFB1: 02.86	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	VALOR_MOEDA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_EMPRESA
precision: 06.63	recall: 25.00	FB1: 09.44	MFB1: 10.48	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_PLANO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_CARGO
