precision: 30.53	recall: 28.51	FB1: 29.44	M_FB1: 29.48	accuracy: 82.03
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 45.83	recall: 08.67	FB1: 13.81	MFB1: 14.58	ACONTECIMENTO_ORGANIZADO
precision: 46.02	recall: 09.32	FB1: 14.81	MFB1: 15.50	ORGANIZACAO_ADMINISTRACAO
precision: 29.71	recall: 41.62	FB1: 34.13	MFB1: 34.67	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 37.65	recall: 51.85	FB1: 43.40	MFB1: 43.62	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO
precision: 26.71	recall: 52.37	FB1: 35.06	MFB1: 35.38	LOCAL_HUMANO
precision: 18.51	recall: 13.34	FB1: 14.28	MFB1: 15.50	ORGANIZACAO_INSTITUICAO
precision: 25.40	recall: 15.40	FB1: 18.88	MFB1: 19.17	OBRA_REPRODUZIDA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 11.74	recall: 04.67	FB1: 06.42	MFB1: 06.69	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_VIRTUAL
precision: 20.75	recall: 05.02	FB1: 07.75	MFB1: 08.08	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_DISCIPLINA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 32.00	recall: 19.12	FB1: 23.62	MFB1: 23.94	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_FREQUENCIA
precision: 12.50	recall: 06.25	FB1: 08.33	MFB1: 08.33	VALOR_MOEDA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 20.00	recall: 01.10	FB1: 02.05	MFB1: 02.08	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 03.33	recall: 00.91	FB1: 01.43	MFB1: 01.43	OBRA_PLANO
precision: 10.00	recall: 00.91	FB1: 01.67	MFB1: 01.67	PESSOA_CARGO
