processed 20277 tokens with 1922 phrases; found: 84 phrases; correct: 13.
accuracy:  79.88%; precision:  15.48%; recall:   0.68%; FB1:   1.30
       ABSTRACCAO: precision: 100.00%; recall:   1.22%; FB1:   2.41  1
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  85.71%; recall:   1.72%; FB1:   3.37  7
             OBRA: precision: 100.00%; recall:   0.90%; FB1:   1.79  1
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  14
            TEMPO: precision:   9.09%; recall:   1.71%; FB1:   2.88  55
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
