precision: 21.79	recall: 20.93	FB1: 21.31	accuracy: 85.52
precision: 14.48	recall: 17.30	FB1: 15.17	ACONTECIMENTO
precision: 24.32	recall: 13.14	FB1: 14.91	COISA
precision: 21.04	recall: 13.26	FB1: 15.78	ORGANIZACAO
precision: 20.05	recall: 31.39	FB1: 24.35	TEMPO
precision: 03.69	recall: 02.14	FB1: 02.61	OBRA
precision: 05.09	recall: 18.54	FB1: 07.68	VALOR
precision: 15.00	recall: 10.91	FB1: 10.55	OUTRO
precision: 24.09	recall: 16.23	FB1: 19.26	PESSOA
precision: 48.72	recall: 41.77	FB1: 44.44	LOCAL
precision: 13.59	recall: 07.46	FB1: 09.44	ABSTRACCAO
