processed 17144 tokens with 1477 phrases; found: 71 phrases; correct: 10.
accuracy:  84.13%; precision:  14.08%; recall:   0.68%; FB1:   1.29
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   2.73%; FB1:   5.32  7
             OBRA: precision:   7.69%; recall:   2.13%; FB1:   3.33  13
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  11
            TEMPO: precision:   5.26%; recall:   0.83%; FB1:   1.43  38
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
