processed 6736 tokens with 581 phrases; found: 20 phrases; correct: 2.
accuracy:  84.96%; precision:  10.00%; recall:   0.34%; FB1:   0.67
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  66.67%; recall:   1.42%; FB1:   2.78  3
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  12
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
