processed 6218 tokens with 595 phrases; found: 24 phrases; correct: 7.
accuracy:  79.22%; precision:  29.17%; recall:   1.18%; FB1:   2.26
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  85.71%; recall:   4.88%; FB1:   9.23  7
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
            TEMPO: precision:   6.67%; recall:   1.03%; FB1:   1.79  15
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
