processed 2910 tokens with 159 phrases; found: 134 phrases; correct: 21.
accuracy:  90.10%; precision:  15.67%; recall:  13.21%; FB1:  14.33
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            COISA: precision:  55.56%; recall:  71.43%; FB1:  62.50  9
            LOCAL: precision:  64.29%; recall:  47.37%; FB1:  54.55  14
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  10
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
           PESSOA: precision:   3.33%; recall:   1.75%; FB1:   2.30  30
            TEMPO: precision:  15.00%; recall:  28.57%; FB1:  19.67  40
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  15
