processed 2481 tokens with 291 phrases; found: 401 phrases; correct: 62.
accuracy:  75.45%; precision:  15.46%; recall:  21.31%; FB1:  17.92
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
     COISA_CLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
     LOCAL_HUMANO: precision:  63.83%; recall:  31.91%; FB1:  42.55  47
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       OBRA_PLANO: precision:  11.11%; recall:  11.76%; FB1:  11.43  18
 OBRA_REPRODUZIDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  11
ORGANIZACAO_ADMINISTRACAO: precision:  48.00%; recall:  85.71%; FB1:  61.54  25
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
ORGANIZACAO_INSTITUICAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  6
     PESSOA_CARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
PESSOA_GRUPOMEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
PESSOA_INDIVIDUAL: precision:  10.34%; recall:   8.11%; FB1:   9.09  29
    TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
 TEMPO_FREQUENCIA: precision:  30.00%; recall:  42.86%; FB1:  35.29  10
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  9
TEMPO_TEMPO_CALEND: precision:   4.93%; recall:  33.33%; FB1:   8.58  203
      VALOR_MOEDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 VALOR_QUANTIDADE: precision:  10.00%; recall:  20.00%; FB1:  13.33  20
