processed 20180 tokens with 1777 phrases; found: 41 phrases; correct: 9.
accuracy:  82.21%; precision:  21.95%; recall:   0.51%; FB1:   0.99
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  80.00%; recall:   2.71%; FB1:   5.25  10
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   4.17%; recall:   0.38%; FB1:   0.69  24
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
