processed 7725 tokens with 614 phrases; found: 18 phrases; correct: 4.
accuracy:  85.72%; precision:  22.22%; recall:   0.65%; FB1:   1.27
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   3.64%; FB1:   7.02  4
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  8
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
