processed 10494 tokens with 970 phrases; found: 34 phrases; correct: 2.
accuracy:  79.74%; precision:   5.88%; recall:   0.21%; FB1:   0.40
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   0.55%; FB1:   1.09  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            TEMPO: precision:   3.23%; recall:   0.72%; FB1:   1.18  31
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
