processed 8810 tokens with 711 phrases; found: 784 phrases; correct: 231.
accuracy:  81.65%; precision:  29.46%; recall:  32.49%; FB1:  30.90
       ABSTRACCAO: precision:  50.00%; recall:   3.57%; FB1:   6.67  2
    ACONTECIMENTO: precision: 100.00%; recall:   5.56%; FB1:  10.53  2
            COISA: precision:  12.50%; recall:   1.89%; FB1:   3.28  8
            LOCAL: precision:  27.88%; recall:  46.77%; FB1:  34.94  208
             OBRA: precision:  35.71%; recall:   7.81%; FB1:  12.82  14
      ORGANIZACAO: precision:  28.91%; recall:  37.76%; FB1:  32.74  128
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:  33.48%; recall:  44.64%; FB1:  38.27  224
            TEMPO: precision:  26.70%; recall:  44.35%; FB1:  33.33  191
            VALOR: precision:  14.29%; recall:   5.00%; FB1:   7.41  7
