precision: 51.12	recall: 44.52	FB1: 47.57	M_FB1: 47.59	accuracy: 89.90
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 41.96	recall: 25.54	FB1: 31.13	MFB1: 31.75	ACONTECIMENTO_ORGANIZADO
precision: 45.11	recall: 37.46	FB1: 39.74	MFB1: 40.93	ORGANIZACAO_ADMINISTRACAO
precision: 73.16	recall: 64.59	FB1: 68.51	MFB1: 68.61	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE
precision: 07.29	recall: 06.47	FB1: 06.54	MFB1: 06.86	COISA_OBJECTO
precision: 59.28	recall: 71.24	FB1: 64.62	MFB1: 64.72	PESSOA_INDIVIDUAL
precision: 19.40	recall: 10.22	FB1: 13.35	MFB1: 13.39	LOCAL_FISICO
precision: 47.23	recall: 64.64	FB1: 54.34	MFB1: 54.58	LOCAL_HUMANO
precision: 45.40	recall: 38.10	FB1: 41.30	MFB1: 41.43	ORGANIZACAO_INSTITUICAO
precision: 42.98	recall: 25.65	FB1: 29.61	MFB1: 32.13	OBRA_REPRODUZIDA
precision: 10.71	recall: 03.00	FB1: 04.69	MFB1: 04.69	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 19.89	recall: 11.12	FB1: 14.23	MFB1: 14.26	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 20.24	recall: 05.18	FB1: 08.15	MFB1: 08.25	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 20.83	recall: 05.40	FB1: 08.39	MFB1: 08.57	LOCAL_VIRTUAL
precision: 31.24	recall: 18.88	FB1: 22.61	MFB1: 23.53	PESSOA_GRUPOMEMBRO
precision: 15.28	recall: 32.50	FB1: 20.54	MFB1: 20.78	ABSTRACCAO_ESTADO
precision: 02.38	recall: 00.69	FB1: 01.07	MFB1: 01.08	ABSTRACCAO_DISCIPLINA
precision: 08.33	recall: 02.08	FB1: 03.33	MFB1: 03.33	TEMPO_DURACAO
precision: 12.50	recall: 06.25	FB1: 08.33	MFB1: 08.33	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 37.78	recall: 39.74	FB1: 38.51	MFB1: 38.74	VALOR_QUANTIDADE
precision: 58.63	recall: 15.62	FB1: 24.16	MFB1: 24.67	TEMPO_FREQUENCIA
precision: 55.95	recall: 28.87	FB1: 34.95	MFB1: 38.09	VALOR_MOEDA
precision: 62.50	recall: 15.87	FB1: 24.39	MFB1: 25.31	ACONTECIMENTO_EFEMERIDE
precision: 53.99	recall: 11.71	FB1: 18.93	MFB1: 19.24	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 28.57	recall: 07.98	FB1: 12.19	MFB1: 12.48	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 25.41	recall: 04.38	FB1: 07.32	MFB1: 07.47	OBRA_PLANO
precision: 49.02	recall: 25.15	FB1: 32.69	MFB1: 33.24	PESSOA_CARGO
