precision: 70.81	recall: 41.01	FB1: 51.88	M_FB1: 51.94	accuracy: 96.50
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO_ILHA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_VIRTUAL_OBRA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_REPRODUZIDA_LIVRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_REPRODUZIDA_OUTRO
precision: 50.00	recall: 29.17	FB1: 32.14	MFB1: 36.84	LOCAL_VIRTUAL_COMSOCIAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_REPRODUZIDA_FILME
precision: 46.59	recall: 14.12	FB1: 20.48	MFB1: 21.68	LOCAL_HUMANO_CONSTRUCAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	TEMPO_TEMPO_CALEND_HORA
precision: 33.33	recall: 09.52	FB1: 14.81	MFB1: 14.81	LOCAL_FISICO_RELEVO
precision: 75.00	recall: 10.20	FB1: 17.92	MFB1: 17.95	LOCAL_HUMANO_RUA
precision: 25.00	recall: 04.17	FB1: 07.14	MFB1: 07.14	OBRA_REPRODUZIDA_MUSICA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE_EDIFICIO
precision: 50.00	recall: 08.12	FB1: 13.89	MFB1: 13.98	LOCAL_HUMANO_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_EMPRESA_SUB
precision: 85.69	recall: 44.82	FB1: 56.80	MFB1: 58.85	TEMPO_TEMPO_CALEND_INTERVALO
precision: 75.00	recall: 25.83	FB1: 37.50	MFB1: 38.43	LOCAL_FISICO_AGUACURSO
precision: 76.45	recall: 57.20	FB1: 65.39	MFB1: 65.44	TEMPO_TEMPO_CALEND_DATA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO_PLANETA
precision: 70.02	recall: 50.52	FB1: 57.50	MFB1: 58.69	LOCAL_HUMANO_PAIS
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_VIRTUAL_SITIO
precision: 14.58	recall: 04.45	FB1: 06.80	MFB1: 06.81	LOCAL_HUMANO_REGIAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_ADMINISTRACAO_SUB
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ORGANIZACAO_INSTITUICAO_SUB
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE_PINTURA
precision: 12.50	recall: 06.25	FB1: 08.33	MFB1: 08.33	LOCAL_FISICO_AGUAMASSA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_VIRTUAL_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE_CONSTRUCAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO_REGIAO
precision: 69.99	recall: 41.37	FB1: 51.81	MFB1: 52.00	LOCAL_HUMANO_DIVISAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE_OUTRO
