precision: 72.60	recall: 39.00	FB1: 50.45	AVG_M_FB1: 50.74	T_M_FB1: 50.74	accuracy: 96.10
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_ILHA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_OBRA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_TEATRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_LIVRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_OUTRO
precision: 06.70	recall: 02.83	FB1: 03.94	AVG_M_FB1: 03.94	T_M_FB1: 03.98	LOCAL_VIRTUAL_COMSOCIAL
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_FILME
precision: 39.05	recall: 11.62	FB1: 17.03	AVG_M_FB1: 17.86	T_M_FB1: 17.91	LOCAL_HUMANO_CONSTRUCAO
precision: 31.45	recall: 11.30	FB1: 15.66	AVG_M_FB1: 16.32	T_M_FB1: 16.63	TEMPO_TEMPO_CALEND_HORA
precision: 24.16	recall: 10.54	FB1: 13.47	AVG_M_FB1: 14.24	T_M_FB1: 14.68	LOCAL_FISICO_RELEVO
precision: 39.20	recall: 15.45	FB1: 20.93	AVG_M_FB1: 22.11	T_M_FB1: 22.17	LOCAL_HUMANO_RUA
precision: 33.33	recall: 04.93	FB1: 08.04	AVG_M_FB1: 08.47	T_M_FB1: 08.60	OBRA_REPRODUZIDA_MUSICA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_EDIFICIO
precision: 28.17	recall: 20.54	FB1: 22.82	AVG_M_FB1: 23.39	T_M_FB1: 23.76	LOCAL_HUMANO_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ORGANIZACAO_EMPRESA_SUB
precision: 66.76	recall: 38.34	FB1: 45.83	AVG_M_FB1: 48.67	T_M_FB1: 48.70	TEMPO_TEMPO_CALEND_INTERVALO
precision: 46.67	recall: 17.09	FB1: 24.50	AVG_M_FB1: 24.67	T_M_FB1: 25.01	LOCAL_FISICO_AGUACURSO
precision: 75.70	recall: 55.67	FB1: 63.80	AVG_M_FB1: 64.15	T_M_FB1: 64.16	TEMPO_TEMPO_CALEND_DATA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_PLANETA
precision: 70.68	recall: 50.44	FB1: 57.89	AVG_M_FB1: 58.86	T_M_FB1: 58.87	LOCAL_HUMANO_PAIS
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_SITIO
precision: 23.50	recall: 09.42	FB1: 12.90	AVG_M_FB1: 13.37	T_M_FB1: 13.45	LOCAL_HUMANO_REGIAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ORGANIZACAO_ADMINISTRACAO_SUB
precision: 09.17	recall: 01.53	FB1: 02.62	AVG_M_FB1: 02.62	T_M_FB1: 02.62	ORGANIZACAO_INSTITUICAO_SUB
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_REPRODUZIDA_PROGRAMA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_PINTURA
precision: 12.05	recall: 06.93	FB1: 08.09	AVG_M_FB1: 08.09	T_M_FB1: 08.80	LOCAL_FISICO_AGUAMASSA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_VIRTUAL_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_CONSTRUCAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_FISICO_REGIAO
precision: 75.27	recall: 39.95	FB1: 50.96	AVG_M_FB1: 52.14	T_M_FB1: 52.20	LOCAL_HUMANO_DIVISAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE_OUTRO
