precision: 52.13	recall: 45.40	FB1: 48.50	AVG_M_FB1: 48.53	T_M_FB1: 48.53	accuracy: 90.13
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_OUTRO
precision: 33.07	recall: 19.61	FB1: 23.14	AVG_M_FB1: 24.58	T_M_FB1: 24.62	ACONTECIMENTO_ORGANIZADO
precision: 47.29	recall: 34.38	FB1: 37.82	AVG_M_FB1: 39.80	T_M_FB1: 39.81	ORGANIZACAO_ADMINISTRACAO
precision: 73.48	recall: 64.30	FB1: 68.42	AVG_M_FB1: 68.58	T_M_FB1: 68.59	TEMPO_TEMPO_CALEND
precision: 07.41	recall: 10.36	FB1: 08.42	AVG_M_FB1: 08.42	T_M_FB1: 08.64	OBRA_ARTE
precision: 05.38	recall: 03.40	FB1: 03.42	AVG_M_FB1: 03.98	T_M_FB1: 04.17	COISA_OBJECTO
precision: 56.13	recall: 70.95	FB1: 62.12	AVG_M_FB1: 62.66	T_M_FB1: 62.67	PESSOA_INDIVIDUAL
precision: 17.02	recall: 11.47	FB1: 11.44	AVG_M_FB1: 13.59	T_M_FB1: 13.70	LOCAL_FISICO
precision: 50.20	recall: 66.79	FB1: 56.86	AVG_M_FB1: 57.32	T_M_FB1: 57.32	LOCAL_HUMANO
precision: 40.62	recall: 34.11	FB1: 36.03	AVG_M_FB1: 37.07	T_M_FB1: 37.09	ORGANIZACAO_INSTITUICAO
precision: 35.85	recall: 27.95	FB1: 30.14	AVG_M_FB1: 31.40	T_M_FB1: 31.41	OBRA_REPRODUZIDA
precision: 19.23	recall: 04.55	FB1: 07.00	AVG_M_FB1: 07.29	T_M_FB1: 07.36	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOIND
precision: 20.86	recall: 08.37	FB1: 11.21	AVG_M_FB1: 11.91	T_M_FB1: 11.94	COISA_CLASSE
precision: 07.29	recall: 02.17	FB1: 03.29	AVG_M_FB1: 03.29	T_M_FB1: 03.34	ACONTECIMENTO_EVENTO
precision: 10.97	recall: 05.97	FB1: 06.65	AVG_M_FB1: 07.50	T_M_FB1: 07.73	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_POVO
precision: 18.75	recall: 08.68	FB1: 11.19	AVG_M_FB1: 11.62	T_M_FB1: 11.87	LOCAL_VIRTUAL
precision: 32.61	recall: 16.31	FB1: 20.32	AVG_M_FB1: 21.74	T_M_FB1: 21.75	PESSOA_GRUPOMEMBRO
precision: 45.53	recall: 21.45	FB1: 24.47	AVG_M_FB1: 28.27	T_M_FB1: 29.16	ABSTRACCAO_ESTADO
precision: 14.56	recall: 04.85	FB1: 06.38	AVG_M_FB1: 07.15	T_M_FB1: 07.27	ABSTRACCAO_DISCIPLINA
precision: 16.18	recall: 04.84	FB1: 06.91	AVG_M_FB1: 07.37	T_M_FB1: 07.45	TEMPO_DURACAO
precision: 01.39	recall: 02.08	FB1: 01.67	AVG_M_FB1: 01.67	T_M_FB1: 01.67	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_MEMBROCLASSE
precision: 47.28	recall: 44.33	FB1: 44.80	AVG_M_FB1: 45.71	T_M_FB1: 45.76	VALOR_QUANTIDADE
precision: 56.07	recall: 20.70	FB1: 28.77	AVG_M_FB1: 30.17	T_M_FB1: 30.23	TEMPO_FREQUENCIA
precision: 66.10	recall: 42.98	FB1: 49.07	AVG_M_FB1: 51.91	T_M_FB1: 52.09	VALOR_MOEDA
precision: 37.91	recall: 18.79	FB1: 23.41	AVG_M_FB1: 24.79	T_M_FB1: 25.12	ACONTECIMENTO_EFEMERIDE
precision: 21.12	recall: 08.01	FB1: 11.05	AVG_M_FB1: 11.57	T_M_FB1: 11.62	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_IDEIA
precision: 24.88	recall: 10.63	FB1: 13.28	AVG_M_FB1: 14.57	T_M_FB1: 14.90	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OUTRO
precision: 44.55	recall: 16.04	FB1: 21.43	AVG_M_FB1: 23.28	T_M_FB1: 23.59	OBRA_PLANO
precision: 45.16	recall: 24.68	FB1: 30.29	AVG_M_FB1: 31.80	T_M_FB1: 31.92	PESSOA_CARGO
