processed 3645 tokens with 894 phrases; found: 718 phrases; correct: 394.
accuracy:  85.27%; precision:  54.87%; recall:  44.07%; FB1:  48.88
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  15
     COISA_CLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_HUMANO: precision:  44.60%; recall:  53.91%; FB1:  48.82  139
      LOCAL_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       OBRA_PLANO: precision: 100.00%; recall:  10.71%; FB1:  19.35  9
 OBRA_REPRODUZIDA: precision:  11.25%; recall:  52.94%; FB1:  18.56  80
ORGANIZACAO_ADMINISTRACAO: precision:  25.00%; recall:   4.55%; FB1:   7.69  4
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
ORGANIZACAO_INSTITUICAO: precision:  48.00%; recall:  38.10%; FB1:  42.48  100
     PESSOA_CARGO: precision:  88.24%; recall:  48.39%; FB1:  62.50  17
PESSOA_GRUPOMEMBRO: precision:  14.29%; recall:   9.09%; FB1:  11.11  7
PESSOA_INDIVIDUAL: precision:  60.11%; recall:  75.84%; FB1:  67.06  188
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   TEMPO_GENERICO: precision: 100.00%; recall:   9.09%; FB1:  16.67  1
TEMPO_TEMPO_CALEND: precision:  88.89%; recall:  76.19%; FB1:  82.05  126
      VALOR_MOEDA: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
 VALOR_QUANTIDADE: precision:  80.95%; recall:  56.67%; FB1:  66.67  21
