processed 7878 tokens with 499 phrases; found: 408 phrases; correct: 150.
accuracy:  90.87%; precision:  36.76%; recall:  30.06%; FB1:  33.08
ABSTRACCAO_DISCIPLINA: precision:  40.00%; recall:   7.41%; FB1:  12.50  10
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
     COISA_CLASSE: precision:  16.67%; recall:  13.33%; FB1:  14.81  12
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 COISA_SUBSTANCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:  50.00%; recall:  10.00%; FB1:  16.67  2
     LOCAL_HUMANO: precision:  42.34%; recall:  58.02%; FB1:  48.96  111
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
       OBRA_PLANO: precision:  20.00%; recall:   2.94%; FB1:   5.13  5
 OBRA_REPRODUZIDA: precision:  25.00%; recall:  20.00%; FB1:  22.22  4
ORGANIZACAO_ADMINISTRACAO: precision:  56.10%; recall:  35.38%; FB1:  43.40  41
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ORGANIZACAO_INSTITUICAO: precision:  39.13%; recall:  40.91%; FB1:  40.00  23
     PESSOA_CARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
PESSOA_GRUPOMEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  6
PESSOA_INDIVIDUAL: precision:  27.97%; recall:  56.90%; FB1:  37.50  118
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    TEMPO_DURACAO: precision:  50.00%; recall:  12.50%; FB1:  20.00  2
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND: precision:  51.43%; recall:  36.73%; FB1:  42.86  35
VALOR_CLASSIFICACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 VALOR_QUANTIDADE: precision:  40.00%; recall:  45.45%; FB1:  42.55  25
