precision: 48.08	recall: 41.48	FB1: 44.49	accuracy: 89.94
precision: 38.25	recall: 27.53	FB1: 31.32	PESSOA_CARGO
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_OUTRO
precision: 23.31	recall: 11.50	FB1: 15.29	ACONTECIMENTO_ORGANIZADO
precision: 33.20	recall: 21.15	FB1: 23.70	ORGANIZACAO_ADMINISTRACAO
precision: 65.18	recall: 61.31	FB1: 61.93	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOCARGO
precision: 76.67	recall: 34.91	FB1: 43.44	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OBJECTO
precision: 54.92	recall: 68.97	FB1: 60.52	PESSOA_INDIVIDUAL
precision: 19.44	recall: 07.64	FB1: 10.19	LOCAL_FISICO
precision: 42.16	recall: 65.11	FB1: 48.82	LOCAL_HUMANO
precision: 41.42	recall: 35.91	FB1: 37.94	ORGANIZACAO_INSTITUICAO
precision: 25.02	recall: 17.23	FB1: 18.89	OBRA_REPRODUZIDA
precision: 19.44	recall: 07.80	FB1: 10.83	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOIND
precision: 20.00	recall: 04.26	FB1: 06.87	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 15.00	recall: 10.00	FB1: 11.67	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_POVO
precision: 16.67	recall: 05.56	FB1: 07.62	LOCAL_VIRTUAL
precision: 32.69	recall: 14.78	FB1: 19.67	PESSOA_GRUPOMEMBRO
precision: 55.56	recall: 33.33	FB1: 31.19	ABSTRACCAO_ESTADO
precision: 05.56	recall: 01.39	FB1: 02.22	ABSTRACCAO_DISCIPLINA
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_DURACAO
precision: 08.33	recall: 01.28	FB1: 02.22	OBRA_ARTE
precision: 25.00	recall: 25.00	FB1: 25.00	COISA_MEMBROCLASSE
precision: 34.25	recall: 36.00	FB1: 33.53	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_
precision: 38.33	recall: 19.76	FB1: 25.32	VALOR_MOEDA
precision: 19.44	recall: 14.25	FB1: 12.53	ACONTECIMENTO_EFEMERIDE
precision: 23.81	recall: 21.07	FB1: 14.26	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_IDEIA
precision: 27.31	recall: 14.33	FB1: 13.72	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OUTRO
precision: 12.43	recall: 10.85	FB1: 09.44	OBRA_PLANO
precision: 00.00	recall: 00.00	FB1: 00.00	OUTRO_
