processed 18314 tokens with 1591 phrases; found: 1115 phrases; correct: 681.
accuracy:  90.62%; precision:  61.08%; recall:  42.80%; FB1:  50.33
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:  78.95%; recall:  46.88%; FB1:  58.82  19
     COISA_CLASSE: precision:  46.15%; recall:  12.24%; FB1:  19.35  13
COISA_MEMBROCLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      COISA_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 COISA_SUBSTANCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:  20.00%; recall:   5.00%; FB1:   8.00  5
     LOCAL_HUMANO: precision:  56.02%; recall:  62.42%; FB1:  59.05  332
      LOCAL_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       OBRA_PLANO: precision:  66.67%; recall:  21.05%; FB1:  32.00  6
 OBRA_REPRODUZIDA: precision:  43.75%; recall:  20.59%; FB1:  28.00  16
ORGANIZACAO_ADMINISTRACAO: precision:  55.56%; recall:  29.85%; FB1:  38.83  36
ORGANIZACAO_EMPRESA: precision:  44.44%; recall:   6.78%; FB1:  11.76  9
ORGANIZACAO_INSTITUICAO: precision:  60.00%; recall:  48.39%; FB1:  53.57  75
     PESSOA_CARGO: precision:  61.54%; recall:  30.77%; FB1:  41.03  13
PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:  33.33%; recall:   8.11%; FB1:  13.04  9
PESSOA_INDIVIDUAL: precision:  63.43%; recall:  66.18%; FB1:  64.78  361
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND: precision:  75.13%; recall:  58.47%; FB1:  65.76  193
VALOR_CLASSIFICACAO: precision: 100.00%; recall:   8.33%; FB1:  15.38  2
      VALOR_MOEDA: precision: 100.00%; recall:   6.67%; FB1:  12.50  1
 VALOR_QUANTIDADE: precision:  22.73%; recall:   7.69%; FB1:  11.49  22
