processed 2520 tokens with 291 phrases; found: 233 phrases; correct: 136.
accuracy:  85.79%; precision:  58.37%; recall:  46.74%; FB1:  51.91
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  9
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     COISA_CLASSE: precision:  40.00%; recall:   5.00%; FB1:   8.89  5
     LOCAL_HUMANO: precision:  82.89%; recall:  67.02%; FB1:  74.12  76
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       OBRA_PLANO: precision:  50.00%; recall:  11.76%; FB1:  19.05  4
 OBRA_REPRODUZIDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
ORGANIZACAO_ADMINISTRACAO: precision:  84.62%; recall:  78.57%; FB1:  81.48  13
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ORGANIZACAO_INSTITUICAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
PESSOA_GRUPOMEMBRO: precision:  33.33%; recall:   9.09%; FB1:  14.29  3
PESSOA_INDIVIDUAL: precision:  51.56%; recall:  89.19%; FB1:  65.35  64
    TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
 TEMPO_FREQUENCIA: precision:  50.00%; recall:  14.29%; FB1:  22.22  2
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
TEMPO_TEMPO_CALEND: precision:  63.64%; recall:  70.00%; FB1:  66.67  33
      VALOR_MOEDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 VALOR_QUANTIDADE: precision:  33.33%; recall:  20.00%; FB1:  25.00  6
