precision: 50.43	recall: 46.57	FB1: 48.37	accuracy: 90.66
precision: 30.08	recall: 13.21	FB1: 15.96	ACONTECIMENTO
precision: 18.32	recall: 06.49	FB1: 08.53	COISA
precision: 44.26	recall: 33.86	FB1: 38.05	ORGANIZACAO
precision: 67.51	recall: 54.73	FB1: 60.18	TEMPO
precision: 43.25	recall: 36.56	FB1: 33.27	OBRA
precision: 50.22	recall: 42.79	FB1: 45.99	VALOR
precision: 21.25	recall: 09.91	FB1: 13.43	OUTRO
precision: 47.02	recall: 63.30	FB1: 53.58	PESSOA
precision: 50.64	recall: 60.08	FB1: 54.28	LOCAL
precision: 19.60	recall: 07.19	FB1: 08.38	ABSTRACCAO
