precision: 52.65	recall: 45.87	FB1: 48.98	M_FB1: 49.03	accuracy: 90.21
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 30.02	recall: 19.28	FB1: 21.77	MFB1: 23.48	ACONTECIMENTO_ORGANIZADO
precision: 47.09	recall: 33.48	FB1: 37.36	MFB1: 39.14	ORGANIZACAO_ADMINISTRACAO
precision: 73.96	recall: 64.57	FB1: 68.74	MFB1: 68.94	TEMPO_TEMPO_CALEND
precision: 05.55	recall: 08.33	FB1: 06.67	MFB1: 06.67	OBRA_ARTE
precision: 58.33	recall: 18.90	FB1: 27.56	MFB1: 28.55	TEMPO_FREQUENCIA
precision: 04.00	recall: 01.67	FB1: 02.35	MFB1: 02.35	COISA_OBJECTO
precision: 55.30	recall: 72.71	FB1: 61.60	MFB1: 62.82	PESSOA_INDIVIDUAL
precision: 16.92	recall: 14.10	FB1: 14.07	MFB1: 15.38	LOCAL_FISICO
precision: 51.75	recall: 67.01	FB1: 57.90	MFB1: 58.40	LOCAL_HUMANO
precision: 43.23	recall: 36.85	FB1: 38.95	MFB1: 39.79	ORGANIZACAO_INSTITUICAO
precision: 35.57	recall: 27.11	FB1: 29.53	MFB1: 30.77	OBRA_REPRODUZIDA
precision: 07.50	recall: 03.19	FB1: 04.33	MFB1: 04.48	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 27.60	recall: 12.73	FB1: 16.01	MFB1: 17.42	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 05.00	recall: 02.50	FB1: 03.33	MFB1: 03.33	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 14.07	recall: 10.37	FB1: 11.60	MFB1: 11.94	LOCAL_VIRTUAL
precision: 29.38	recall: 14.99	FB1: 19.01	MFB1: 19.86	PESSOA_GRUPOMEMBRO
precision: 17.74	recall: 08.48	FB1: 09.33	MFB1: 11.48	ABSTRACCAO_DISCIPLINA
precision: 05.00	recall: 00.77	FB1: 01.33	MFB1: 01.33	TEMPO_DURACAO
precision: 05.55	recall: 08.33	FB1: 06.67	MFB1: 06.67	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 48.59	recall: 46.79	FB1: 47.27	MFB1: 47.67	VALOR_QUANTIDADE
precision: 25.00	recall: 12.50	FB1: 16.67	MFB1: 16.67	ABSTRACCAO_ESTADO
precision: 58.56	recall: 33.07	FB1: 39.40	MFB1: 42.27	VALOR_MOEDA
precision: 37.14	recall: 19.10	FB1: 21.95	MFB1: 25.23	ACONTECIMENTO_EFEMERIDE
precision: 27.41	recall: 10.24	FB1: 14.68	MFB1: 14.91	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 35.12	recall: 09.04	FB1: 12.90	MFB1: 14.38	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 36.31	recall: 15.14	FB1: 20.25	MFB1: 21.37	OBRA_PLANO
precision: 43.97	recall: 29.20	FB1: 31.81	MFB1: 35.09	PESSOA_CARGO
