processed 10267 tokens with 833 phrases; found: 816 phrases; correct: 19.
accuracy:  79.01%; precision:   2.33%; recall:   2.28%; FB1:   2.30
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  12
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  12
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  14
            LOCAL: precision:   4.69%; recall:   6.32%; FB1:   5.38  128
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  36
      ORGANIZACAO: precision:   1.28%; recall:   0.85%; FB1:   1.02  78
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
           PESSOA: precision:   1.84%; recall:   2.56%; FB1:   2.14  380
            TEMPO: precision:   5.10%; recall:   4.17%; FB1:   4.59  98
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  57
