precision: 51.21	recall: 43.10	FB1: 46.78	AVG_M_FB1: 46.81	T_M_FB1: 46.81	accuracy: 89.54
precision: 34.99	recall: 14.17	FB1: 19.39	AVG_M_FB1: 20.14	T_M_FB1: 20.17	ACONTECIMENTO
precision: 17.49	recall: 02.29	FB1: 03.73	AVG_M_FB1: 04.06	T_M_FB1: 04.06	COISA
precision: 45.59	recall: 34.80	FB1: 39.06	AVG_M_FB1: 39.47	T_M_FB1: 39.47	ORGANIZACAO
precision: 78.40	recall: 52.02	FB1: 62.04	AVG_M_FB1: 62.53	T_M_FB1: 62.54	TEMPO
precision: 32.78	recall: 22.69	FB1: 25.87	AVG_M_FB1: 26.81	T_M_FB1: 26.82	OBRA
precision: 44.83	recall: 29.50	FB1: 34.83	AVG_M_FB1: 35.56	T_M_FB1: 35.58	VALOR
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OUTRO
precision: 49.27	recall: 61.68	FB1: 54.24	AVG_M_FB1: 54.78	T_M_FB1: 54.78	PESSOA
precision: 49.00	recall: 54.00	FB1: 51.06	AVG_M_FB1: 51.38	T_M_FB1: 51.38	LOCAL
precision: 10.53	recall: 01.47	FB1: 02.49	AVG_M_FB1: 02.56	T_M_FB1: 02.57	ABSTRACCAO
