precision: 51.61	recall: 40.66	FB1: 45.46	M_FB1: 45.48	accuracy: 89.28
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 34.03	recall: 17.43	FB1: 22.68	MFB1: 23.05	ACONTECIMENTO_ORGANIZADO
precision: 55.00	recall: 29.01	FB1: 37.36	MFB1: 37.99	ORGANIZACAO_ADMINISTRACAO
precision: 81.38	recall: 66.28	FB1: 72.96	MFB1: 73.05	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE
precision: 62.50	recall: 07.78	FB1: 13.82	MFB1: 13.83	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 49.75	recall: 68.95	FB1: 57.72	MFB1: 57.80	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_FISICO
precision: 48.65	recall: 56.84	FB1: 51.99	MFB1: 52.42	LOCAL_HUMANO
precision: 44.26	recall: 29.51	FB1: 34.74	MFB1: 35.41	ORGANIZACAO_INSTITUICAO
precision: 38.75	recall: 31.70	FB1: 33.01	MFB1: 34.87	OBRA_REPRODUZIDA
precision: 12.50	recall: 00.86	FB1: 01.61	MFB1: 01.61	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 27.53	recall: 07.07	FB1: 11.21	MFB1: 11.25	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 08.33	recall: 04.17	FB1: 05.55	MFB1: 05.56	LOCAL_VIRTUAL
precision: 35.39	recall: 11.79	FB1: 17.19	MFB1: 17.69	PESSOA_GRUPOMEMBRO
precision: 19.05	recall: 01.72	FB1: 03.15	MFB1: 03.15	ABSTRACCAO_DISCIPLINA
precision: 18.16	recall: 07.93	FB1: 10.65	MFB1: 11.04	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 36.96	recall: 22.80	FB1: 28.05	MFB1: 28.20	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 63.54	recall: 28.32	FB1: 38.88	MFB1: 39.18	VALOR_MOEDA
precision: 17.92	recall: 12.06	FB1: 14.12	MFB1: 14.41	ACONTECIMENTO_EFEMERIDE
precision: 69.84	recall: 23.77	FB1: 34.77	MFB1: 35.47	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 28.12	recall: 02.41	FB1: 04.41	MFB1: 04.44	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 17.16	recall: 09.57	FB1: 11.79	MFB1: 12.29	OBRA_PLANO
precision: 47.50	recall: 22.82	FB1: 30.60	MFB1: 30.83	PESSOA_CARGO
