precision: 49.76	recall: 39.50	FB1: 44.00	AVG_M_FB1: 44.04	T_M_FB1: 44.04	accuracy: 89.05
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	LOCAL_OUTRO
precision: 34.38	recall: 16.84	FB1: 20.77	AVG_M_FB1: 22.52	T_M_FB1: 22.61	ACONTECIMENTO_ORGANIZADO
precision: 45.99	recall: 25.88	FB1: 31.70	AVG_M_FB1: 33.11	T_M_FB1: 33.12	ORGANIZACAO_ADMINISTRACAO
precision: 76.44	recall: 60.32	FB1: 67.07	AVG_M_FB1: 67.42	T_M_FB1: 67.43	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OBJECTO
precision: 49.35	recall: 66.32	FB1: 56.02	AVG_M_FB1: 56.58	T_M_FB1: 56.59	PESSOA_INDIVIDUAL
precision: 05.28	recall: 00.41	FB1: 00.76	AVG_M_FB1: 00.76	T_M_FB1: 00.76	LOCAL_FISICO
precision: 49.89	recall: 58.29	FB1: 53.34	AVG_M_FB1: 53.77	T_M_FB1: 53.77	LOCAL_HUMANO
precision: 38.72	recall: 32.53	FB1: 34.41	AVG_M_FB1: 35.31	T_M_FB1: 35.35	ORGANIZACAO_INSTITUICAO
precision: 32.22	recall: 28.24	FB1: 28.14	AVG_M_FB1: 30.02	T_M_FB1: 30.10	OBRA_REPRODUZIDA
precision: 12.36	recall: 01.41	FB1: 02.50	AVG_M_FB1: 02.50	T_M_FB1: 02.53	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOIND
precision: 16.64	recall: 05.03	FB1: 07.22	AVG_M_FB1: 07.64	T_M_FB1: 07.72	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.62	recall: 00.50	FB1: 00.56	AVG_M_FB1: 00.56	T_M_FB1: 00.56	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_POVO
precision: 10.97	recall: 02.30	FB1: 03.66	AVG_M_FB1: 03.67	T_M_FB1: 03.80	LOCAL_VIRTUAL
precision: 20.26	recall: 05.97	FB1: 08.71	AVG_M_FB1: 09.21	T_M_FB1: 09.22	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_ESTADO
precision: 12.58	recall: 02.33	FB1: 03.52	AVG_M_FB1: 03.85	T_M_FB1: 03.93	ABSTRACCAO_DISCIPLINA
precision: 13.01	recall: 05.66	FB1: 07.23	AVG_M_FB1: 07.86	T_M_FB1: 07.89	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_MEMBROCLASSE
precision: 38.93	recall: 26.85	FB1: 30.76	AVG_M_FB1: 31.74	T_M_FB1: 31.78	VALOR_QUANTIDADE
precision: 41.11	recall: 07.16	FB1: 11.74	AVG_M_FB1: 12.07	T_M_FB1: 12.19	TEMPO_FREQUENCIA
precision: 40.96	recall: 23.21	FB1: 26.25	AVG_M_FB1: 29.18	T_M_FB1: 29.63	VALOR_MOEDA
precision: 26.69	recall: 14.44	FB1: 15.82	AVG_M_FB1: 18.65	T_M_FB1: 18.74	ACONTECIMENTO_EFEMERIDE
precision: 36.88	recall: 26.48	FB1: 29.63	AVG_M_FB1: 30.67	T_M_FB1: 30.82	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	ABSTRACCAO_IDEIA
precision: 09.40	recall: 01.74	FB1: 02.92	AVG_M_FB1: 02.93	T_M_FB1: 02.94	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	AVG_M_FB1: 00.00	T_M_FB1: 00.00	COISA_OUTRO
precision: 14.09	recall: 10.63	FB1: 11.38	AVG_M_FB1: 11.88	T_M_FB1: 12.12	OBRA_PLANO
precision: 49.55	recall: 25.85	FB1: 32.63	AVG_M_FB1: 33.75	T_M_FB1: 33.98	PESSOA_CARGO
