precision: 46.22	recall: 34.96	FB1: 39.77	accuracy: 88.90
precision: 12.96	recall: 01.60	FB1: 02.65	ACONTECIMENTO_ORGANIZADO
precision: 39.31	recall: 25.00	FB1: 30.00	ORGANIZACAO_ADMINISTRACAO
precision: 72.24	recall: 55.43	FB1: 62.20	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OBJECTO
precision: 45.63	recall: 63.26	FB1: 51.39	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_FISICO
precision: 49.80	recall: 53.29	FB1: 50.52	LOCAL_HUMANO
precision: 35.61	recall: 29.58	FB1: 31.22	ORGANIZACAO_INSTITUICAO
precision: 10.21	recall: 08.96	FB1: 08.79	OBRA_REPRODUZIDA
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOIND
precision: 15.75	recall: 06.34	FB1: 08.71	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_POVO
precision: 11.11	recall: 03.70	FB1: 05.56	LOCAL_VIRTUAL
precision: 25.04	recall: 03.06	FB1: 05.25	PESSOA_GRUPOMEMBRO
precision: 07.67	recall: 00.91	FB1: 01.62	ABSTRACCAO_DISCIPLINA
precision: 25.93	recall: 09.26	FB1: 13.17	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_MEMBROCLASSE
precision: 29.32	recall: 21.19	FB1: 23.63	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_ESTADO
precision: 35.18	recall: 08.17	FB1: 12.19	VALOR_MOEDA
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_IDEIA
precision: 20.00	recall: 05.32	FB1: 07.29	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_SUBSTANCIA
precision: 25.02	recall: 12.31	FB1: 15.93	OBRA_PLANO
precision: 35.67	recall: 20.39	FB1: 25.71	PESSOA_CARGO
