processed 10827 tokens with 835 phrases; found: 661 phrases; correct: 296.
accuracy:  89.90%; precision:  44.78%; recall:  35.45%; FB1:  39.57
ABSTRACCAO_DISCIPLINA: precision:  33.33%; recall:   2.99%; FB1:   5.48  6
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
ACONTECIMENTO_ORGANIZADO: precision:  33.33%; recall:  16.67%; FB1:  22.22  6
     COISA_CLASSE: precision:  14.29%; recall:   3.23%; FB1:   5.26  7
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 COISA_SUBSTANCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_HUMANO: precision:  44.02%; recall:  66.39%; FB1:  52.94  184
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       OBRA_PLANO: precision:  35.71%; recall:   8.62%; FB1:  13.89  14
 OBRA_REPRODUZIDA: precision:   9.09%; recall:  20.00%; FB1:  12.50  22
ORGANIZACAO_ADMINISTRACAO: precision:  59.09%; recall:  22.81%; FB1:  32.91  22
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
ORGANIZACAO_INSTITUICAO: precision:  17.14%; recall:  13.64%; FB1:  15.19  35
     PESSOA_CARGO: precision:  66.67%; recall:  28.57%; FB1:  40.00  3
PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:  75.00%; recall:  15.79%; FB1:  26.09  8
PESSOA_INDIVIDUAL: precision:  40.61%; recall:  64.14%; FB1:  49.73  229
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    TEMPO_DURACAO: precision:  66.67%; recall:  20.00%; FB1:  30.77  3
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND: precision:  78.49%; recall:  65.18%; FB1:  71.22  93
VALOR_CLASSIFICACAO: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
      VALOR_MOEDA: precision:  80.00%; recall:  50.00%; FB1:  61.54  5
 VALOR_QUANTIDADE: precision:  33.33%; recall:  20.00%; FB1:  25.00  9
