precision: 51.70	recall: 43.47	FB1: 47.19	M_FB1: 47.23	accuracy: 89.70
precision: 44.36	recall: 15.90	FB1: 21.54	MFB1: 23.41	ACONTECIMENTO
precision: 27.98	recall: 03.62	FB1: 05.90	MFB1: 06.41	COISA
precision: 44.39	recall: 33.60	FB1: 37.61	MFB1: 38.25	ORGANIZACAO
precision: 79.95	recall: 54.43	FB1: 64.18	MFB1: 64.77	TEMPO
precision: 30.17	recall: 21.53	FB1: 24.60	MFB1: 25.13	OBRA
precision: 38.77	recall: 27.68	FB1: 31.32	MFB1: 32.30	VALOR
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OUTRO
precision: 50.84	recall: 62.42	FB1: 55.58	MFB1: 56.04	PESSOA
precision: 50.01	recall: 54.99	FB1: 51.93	MFB1: 52.38	LOCAL
precision: 11.15	recall: 01.31	FB1: 02.27	MFB1: 02.34	ABSTRACCAO
