precision: 49.40	recall: 39.26	FB1: 43.71	M_FB1: 43.75	accuracy: 88.78
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	LOCAL_OUTRO
precision: 32.57	recall: 16.95	FB1: 20.78	MFB1: 22.30	ACONTECIMENTO_ORGANIZADO
precision: 43.39	recall: 23.43	FB1: 29.01	MFB1: 30.43	ORGANIZACAO_ADMINISTRACAO
precision: 76.92	recall: 62.01	FB1: 68.26	MFB1: 68.67	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OBJECTO
precision: 49.56	recall: 65.70	FB1: 56.13	MFB1: 56.50	PESSOA_INDIVIDUAL
precision: 10.00	recall: 00.71	FB1: 01.33	MFB1: 01.33	LOCAL_FISICO
precision: 48.64	recall: 57.14	FB1: 52.21	MFB1: 52.55	LOCAL_HUMANO
precision: 38.86	recall: 33.12	FB1: 34.75	MFB1: 35.76	ORGANIZACAO_INSTITUICAO
precision: 31.50	recall: 30.12	FB1: 29.83	MFB1: 30.79	OBRA_REPRODUZIDA
precision: 10.00	recall: 00.91	FB1: 01.67	MFB1: 01.67	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOIND
precision: 18.26	recall: 04.00	FB1: 06.39	MFB1: 06.56	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ACONTECIMENTO_EVENTO
precision: 02.50	recall: 02.00	FB1: 02.22	MFB1: 02.22	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_POVO
precision: 16.67	recall: 03.61	FB1: 05.93	MFB1: 05.94	LOCAL_VIRTUAL
precision: 18.57	recall: 05.44	FB1: 07.90	MFB1: 08.41	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_ESTADO
precision: 08.93	recall: 01.00	FB1: 01.75	MFB1: 01.81	ABSTRACCAO_DISCIPLINA
precision: 16.67	recall: 06.25	FB1: 08.01	MFB1: 09.09	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_MEMBROCLASSE
precision: 42.02	recall: 27.78	FB1: 32.87	MFB1: 33.45	VALOR_QUANTIDADE
precision: 50.00	recall: 08.33	FB1: 13.58	MFB1: 14.28	TEMPO_FREQUENCIA
precision: 33.67	recall: 15.64	FB1: 17.82	MFB1: 21.36	VALOR_MOEDA
precision: 29.17	recall: 13.25	FB1: 15.86	MFB1: 18.22	ACONTECIMENTO_EFEMERIDE
precision: 40.00	recall: 22.92	FB1: 27.13	MFB1: 29.14	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	ABSTRACCAO_IDEIA
precision: 12.50	recall: 02.03	FB1: 03.49	MFB1: 03.49	ORGANIZACAO_EMPRESA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	MFB1: 00.00	COISA_OUTRO
precision: 16.84	recall: 11.04	FB1: 12.84	MFB1: 13.34	OBRA_PLANO
precision: 51.24	recall: 19.93	FB1: 27.84	MFB1: 28.70	PESSOA_CARGO
