processed 18673 tokens with 1591 phrases; found: 1225 phrases; correct: 700.
accuracy:  91.08%; precision:  57.14%; recall:  44.00%; FB1:  49.72
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
ACONTECIMENTO_EFEMERIDE: precision:  14.29%; recall:  11.11%; FB1:  12.50  7
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_ORGANIZADO: precision:  23.53%; recall:  12.50%; FB1:  16.33  17
     COISA_CLASSE: precision:  42.86%; recall:  12.24%; FB1:  19.05  14
COISA_MEMBROCLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      COISA_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 COISA_SUBSTANCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
     LOCAL_HUMANO: precision:  58.30%; recall:  55.37%; FB1:  56.80  283
      LOCAL_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       OBRA_PLANO: precision:  30.77%; recall:  21.05%; FB1:  25.00  13
 OBRA_REPRODUZIDA: precision:  40.00%; recall:  35.29%; FB1:  37.50  30
ORGANIZACAO_ADMINISTRACAO: precision:  54.05%; recall:  29.85%; FB1:  38.46  37
ORGANIZACAO_EMPRESA: precision:  50.00%; recall:   5.08%; FB1:   9.23  6
ORGANIZACAO_INSTITUICAO: precision:  49.38%; recall:  43.01%; FB1:  45.98  81
     PESSOA_CARGO: precision:  42.86%; recall:  23.08%; FB1:  30.00  14
PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:  22.22%; recall:   5.41%; FB1:   8.70  9
PESSOA_INDIVIDUAL: precision:  54.08%; recall:  70.81%; FB1:  61.33  453
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    TEMPO_DURACAO: precision:  50.00%; recall:   8.33%; FB1:  14.29  2
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
TEMPO_TEMPO_CALEND: precision:  85.00%; recall:  68.55%; FB1:  75.89  200
VALOR_CLASSIFICACAO: precision:  50.00%; recall:   8.33%; FB1:  14.29  4
      VALOR_MOEDA: precision:  44.44%; recall:  26.67%; FB1:  33.33  9
 VALOR_QUANTIDADE: precision:  44.12%; recall:  23.08%; FB1:  30.30  34
