processed 1293 tokens with 92 phrases; found: 86 phrases; correct: 35.
accuracy:  88.63%; precision:  40.70%; recall:  38.04%; FB1:  39.33
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
            LOCAL: precision:  26.32%; recall:  45.45%; FB1:  33.33  19
             OBRA: precision:  50.00%; recall:  35.29%; FB1:  41.38  12
      ORGANIZACAO: precision:  14.29%; recall:  10.00%; FB1:  11.76  7
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:  40.74%; recall:  55.00%; FB1:  46.81  27
            TEMPO: precision: 100.00%; recall:  75.00%; FB1:  85.71  12
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
