precision: 22.86	recall: 16.61	FB1: 19.23	M_FB1: 19.24	accuracy: 86.16
precision: 13.02	recall: 09.67	FB1: 11.04	MFB1: 11.10	ACONTECIMENTO
precision: 45.99	recall: 14.20	FB1: 21.60	MFB1: 21.69	COISA
precision: 35.11	recall: 18.80	FB1: 24.19	MFB1: 24.49	ORGANIZACAO
precision: 06.88	recall: 08.23	FB1: 07.47	MFB1: 07.49	TEMPO
precision: 04.86	recall: 03.13	FB1: 03.80	MFB1: 03.81	OBRA
precision: 15.49	recall: 13.66	FB1: 14.46	MFB1: 14.52	VALOR
precision: 01.14	recall: 00.76	FB1: 00.91	MFB1: 00.91	OUTRO
precision: 25.40	recall: 15.60	FB1: 19.31	MFB1: 19.33	PESSOA
precision: 43.96	recall: 35.19	FB1: 39.05	MFB1: 39.09	LOCAL
precision: 24.54	recall: 09.27	FB1: 13.40	MFB1: 13.45	ABSTRACCAO
