processed 3602 tokens with 342 phrases; found: 286 phrases; correct: 157.
accuracy:  89.12%; precision:  54.90%; recall:  45.91%; FB1:  50.00
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision: 100.00%; recall:  11.11%; FB1:  20.00  1
            LOCAL: precision:  57.58%; recall:  57.58%; FB1:  57.58  66
             OBRA: precision:  44.44%; recall:  20.00%; FB1:  27.59  9
      ORGANIZACAO: precision:  59.09%; recall:  45.61%; FB1:  51.49  44
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:  44.32%; recall:  62.90%; FB1:  52.00  88
            TEMPO: precision:  71.43%; recall:  51.47%; FB1:  59.83  49
            VALOR: precision:  53.85%; recall:  33.33%; FB1:  41.18  26
