precision: 56.22	recall: 51.98	FB1: 54.00	accuracy: 91.24
precision: 48.38	recall: 25.94	FB1: 29.91	ACONTECIMENTO
precision: 42.22	recall: 16.28	FB1: 21.37	COISA
precision: 49.39	recall: 42.63	FB1: 44.55	ORGANIZACAO
precision: 76.67	recall: 58.56	FB1: 66.01	TEMPO
precision: 31.96	recall: 26.09	FB1: 27.77	OBRA
precision: 58.37	recall: 46.76	FB1: 51.40	VALOR
precision: 11.11	recall: 00.93	FB1: 01.71	OUTRO
precision: 55.36	recall: 71.73	FB1: 61.96	PESSOA
precision: 58.16	recall: 63.18	FB1: 59.94	LOCAL
precision: 21.39	recall: 08.01	FB1: 10.08	ABSTRACCAO
