precision: 55.83	recall: 51.35	FB1: 53.46	accuracy: 90.95
precision: 42.12	recall: 17.65	FB1: 22.01	ACONTECIMENTO
precision: 24.59	recall: 06.88	FB1: 10.14	COISA
precision: 41.51	recall: 46.02	FB1: 43.12	ORGANIZACAO
precision: 79.95	recall: 60.87	FB1: 68.82	TEMPO
precision: 30.33	recall: 26.66	FB1: 26.11	OBRA
precision: 61.59	recall: 43.63	FB1: 50.46	VALOR
precision: 22.22	recall: 02.71	FB1: 04.76	OUTRO
precision: 57.14	recall: 71.11	FB1: 62.80	PESSOA
precision: 56.56	recall: 57.01	FB1: 56.22	LOCAL
precision: 14.72	recall: 04.18	FB1: 06.13	ABSTRACCAO
