processed 17465 tokens with 1477 phrases; found: 1327 phrases; correct: 781.
accuracy:  92.92%; precision:  58.85%; recall:  52.88%; FB1:  55.71
       ABSTRACCAO: precision:  60.71%; recall:  17.89%; FB1:  27.64  28
    ACONTECIMENTO: precision:  64.86%; recall:  31.17%; FB1:  42.11  37
            COISA: precision:  56.52%; recall:  14.94%; FB1:  23.64  23
            LOCAL: precision:  50.61%; recall:  65.23%; FB1:  57.00  330
             OBRA: precision:  32.26%; recall:  42.55%; FB1:  36.70  62
      ORGANIZACAO: precision:  54.94%; recall:  42.38%; FB1:  47.85  162
            OUTRO: precision: 100.00%; recall:   8.33%; FB1:  15.38  1
           PESSOA: precision:  61.70%; recall:  72.68%; FB1:  66.74  470
            TEMPO: precision:  79.89%; recall:  59.09%; FB1:  67.93  179
            VALOR: precision:  48.57%; recall:  32.69%; FB1:  39.08  35
