-X- -X- -X-
EUA ORGANIZACAO LOCAL
MANTÉM O O
EM O O
SEGREDO O O
ARMAS O O
NÃO-LETAIS O O
Debora PESSOA PESSOA
MacKenzie PESSOA PESSOA
, O O
da O O
New ORGANIZACAO LOCAL
Scientist ORGANIZACAO LOCAL
-LRI- O O
www.newscientist.com O O
-RRI- O O
Bactérias O O
que O O
comem O O
estradas O O
e O O
edifícios O O
. O O
Biocatalizadores O O
que O O
decompõem O O
combustíveis O O
e O O
plásticos O O
. O O
Dispositivos O O
que O O
corroem O O
secretamente O O
o O O
alumínio O O
e O O
outros O O
metais O O
. O O
Estes O O
são O O
apenas O O
uns O O
poucos O O
exemplos O O
de O O
armas O O
não O O
letais O O
que O O
os O O
EUA ORGANIZACAO LOCAL
tentaram O O
, O O
ou O O
estão O O
a O O
tentar O O
, O O
desenvolver O O
. O O
Mas O O
quão O O
próximas O O
estas O O
armas O O
estarão O O
da O O
realidade O O
nunca O O
poderemos O O
saber O O
. O O
A O O
US ORGANIZACAO ORGANIZACAO
National ORGANIZACAO ORGANIZACAO
Academy ORGANIZACAO ORGANIZACAO
of ORGANIZACAO ORGANIZACAO
Sciences ORGANIZACAO ORGANIZACAO
-LRI- O O
NAS ORGANIZACAO O
-RRI- O O
recusa-se O O
a O O
liberar O O
dúzias O O
de O O
relatórios O O
que O O
propõem O O
ou O O
descrevem O O
seu O O
desenvolvimento O O
, O O
embora O O
os O O
documentos O O
devam O O
estar O O
nos O O
registRos O O
públicos O O
. O O
A O O
academia O O
justifica O O
sua O O
reticência O O
sem O O
precedentes O O
mencionando O O
preocupações O O
com O O
segurança O O
após TEMPO O
o TEMPO TEMPO
11 TEMPO TEMPO
de TEMPO TEMPO
Setembro TEMPO TEMPO
. O O
Mas O O
pessoas O O
experientes O O
pensam O O
que O O
a O O
razão O O
real O O
é O O
que O O
as O O
investigações O O
violam O O
tanto O O
a O O
lei O O
dos O O
EUA LOCAL LOCAL
como O O
tratados O O
internacionais O O
sobre O O
armas O O
químicas O O
e O O
bacteriológicas O O
. O O
Os O O
documentos O O
em O O
causa O O
foram O O
colecionados O O
no TEMPO TEMPO
ano TEMPO TEMPO
passado TEMPO TEMPO
por O O
um O O
painel O O
de O O
cientistas O O
acadêmicos O O
e O O
industriais O O
organizado O O
pela O O
NAS ORGANIZACAO O
para O O
avaliar O O
recentes O O
investigações O O
de O O
armas O O
não O O
letais O O
para O O
o O O
Joint ORGANIZACAO PESSOA
Non-Lethal ORGANIZACAO PESSOA
Weapons ORGANIZACAO PESSOA
Program ORGANIZACAO PESSOA
-LRI- O O
JNLWP ORGANIZACAO ORGANIZACAO
-RRI- O O
, O O
do O O
Pentágono ORGANIZACAO LOCAL
. O O
Os O O
EUA ORGANIZACAO LOCAL
ganharam O O
um O O
interesse O O
acrescido O O
pelas O O
armas O O
não O O
letais O O
após O O
a O O
sua O O
desastrosa O O
missão O O
pacificadora O O
na O O
Somália LOCAL LOCAL
, O O
em TEMPO TEMPO
1993 TEMPO TEMPO
, O O
quando O O
civis O O
amotinados O O
mataram O O
soldados O O
americanos O O
. O O
O O O
painel O O
, O O
cujo O O
relatório O O
deve O O
sair O O
até TEMPO O
ao TEMPO TEMPO
fim TEMPO TEMPO
deste TEMPO TEMPO
ano TEMPO TEMPO
, O O
colecionou O O
147 VALOR O
relatórios O O
e O O
propostas O O
de O O
investigadores O O
, O O
muitos O O
deles O O
financiados O O
pelo O O
JNLWP ORGANIZACAO ORGANIZACAO
. O O
Um O O
grupo O O
no O O
Oak LOCAL LOCAL
Ridge LOCAL LOCAL
National LOCAL LOCAL
Laboratory LOCAL LOCAL
, O O
no O O
Tennessee LOCAL LOCAL
, O O
por O O
exemplo O O
, O O
propõe O O
utilizar O O
campos O O
eletromagnéticos O O
intensos O O
a O O
fim O O
de O O
produzir O O
efeitos O O
que O O
vão O O
`` O O
desde O O
a O O
interrupção O O
da O O
memória O O
de O O
curto O O
prazo O O
à O O
total O O
perda O O
de O O
controlo O O
voluntário O O
das O O
funções O O
corporais O O
'' O O
. O O
Outros O O
propõem O O
armas O O
de O O
energia O O
dirigida O O
. O O
Em TEMPO O
Março TEMPO LOCAL
, O O
como O O
é O O
habitual O O
com O O
estudos O O
não-classificados O O
da O O
NAS ORGANIZACAO O
, O O
eles O O
foram O O
depositados O O
no O O
Public LOCAL ORGANIZACAO
Access LOCAL ORGANIZACAO
Records LOCAL ORGANIZACAO
Office LOCAL ORGANIZACAO
da O O
academia O O
, O O
e O O
os O O
seus O O
títulos O O
foram O O
divulgados O O
-LRI- O O
ver O O
abaixo O O
-RRI- O O
. O O
`` O O
Estes O O
documentos O O
são O O
supostos O O
serem O O
públicos O O
'' O O
, O O
afirma O O
Ed PESSOA OBRA
Hammond PESSOA OBRA
do O OBRA
Sunshine PESSOA OBRA
Project PESSOA OBRA
, O O
um O O
grupo O O
que O O
faz O O
campanha O O
contra O O
armas O O
biológicas O O
. O O
Quando O O
ele O O
pediu O O
ao O O
serviço O O
de O O
registros O O
para O O
ver O O
77 VALOR VALOR
dos O VALOR
documentos O O
, O O
este O O
concordou O O
em O O
cedê-los O O
. O O
`` O O
Mas O O
dois TEMPO TEMPO
dias TEMPO TEMPO
depois TEMPO TEMPO
a O O
NAS ORGANIZACAO O
retirou O O
os O O
documentos O O
'' O O
, O O
conta O O
Hammond PESSOA PESSOA
. O O
'' O O
Kevin PESSOA PESSOA
Hale PESSOA PESSOA
, O O
o O O
responsável O O
de O O
segurança O O
da O O
NAS ORGANIZACAO O
, O O
disse-me O O
que O O
era O O
porque O O
alguém O O
havia O O
exprimido O O
preocupação O O
'' O O
. O O
Quem O O
o O O
fez O O
não O O
é O O
claro O O
. O O
A O O
pressão O O
restritiva O O
não O O
parece O O
ter O O
vindo O O
da O O
própria O O
JNLWP ORGANIZACAO O
, O O
porque O O
na TEMPO O
semana TEMPO O
passada TEMPO O
esta O O
enviou O O
a O O
Hammond PESSOA ORGANIZACAO
oito O O
documentos O O
que O O
ele O O
havia O O
requerido O O
, O O
incluindo O O
três O O
que O O
estavam O O
na O O
lista O O
da O O
NAS ORGANIZACAO O
. O O
New ORGANIZACAO O
Scientist ORGANIZACAO LOCAL
não O O
pode O O
contatar O O
Hale PESSOA O
. O O
`` O O
Ainda O O
estamos O O
a O O
formular O O
a O O
nossa O O
resposta O O
às O O
pessoas O O
da O O
Sunshine PESSOA LOCAL
'' O O
, O O
foi O O
tudo O O
que O O
um O O
assistente O O
disse O O
. O O
Mas O O
os O O
poucos O O
relatórios O O
que O O
Hammond PESSOA PESSOA
obteve O O
constituem O O
uma O O
leitura O O
interessante O O
. O O
Mais TEMPO TEMPO
de TEMPO TEMPO
um TEMPO TEMPO
ano TEMPO TEMPO
atrás TEMPO TEMPO
, O O
New O PESSOA
Scientist O PESSOA
revelou O O
que O O
responsáveis O O
superiores O O
da O O
JNLWP ORGANIZACAO ORGANIZACAO
pretendiam O O
reescrever O O
os O O
tratados O O
de O O
armas O O
químicas O O
e O O
biológicas O O
a O O
fim O O
de O O
terem O O
mais O O
liberdade O O
para O O
desenvolverem O O
armas O O
não O O
letais O O
-LRI- O O
16 TEMPO TEMPO
Dezembro TEMPO TEMPO
2000 TEMPO TEMPO
, O O
pg O O
. O O
4 O O
-RRI- O O
. O O
Os O O
relatórios O O
tornavam O O
claro O O
que O O
investigações O O
que O O
violam O O
os O O
tratados O O
foram O O
efetuadas O TEMPO
desde TEMPO TEMPO
os TEMPO TEMPO
anos TEMPO TEMPO
1990 TEMPO TEMPO
. O O
Um O O
pedido O O
de O O
financiamento O O
feito O O
em TEMPO TEMPO
1998 TEMPO TEMPO
pelo O O
Office ORGANIZACAO ORGANIZACAO
of ORGANIZACAO ORGANIZACAO
Naval ORGANIZACAO ORGANIZACAO
Research ORGANIZACAO ORGANIZACAO
propõe O O
a O O
criação O O
de O O
micro-organismos O O
geneticamente O O
projetados O O
que O O
corroeriam O O
estradas O O
e O O
pistas O O
de O O
decolagem O O
, O O
e O O
produziriam O O
`` O O
deterioração O O
de O O
partes O O
metálicas O O
, O O
revestimentos O O
e O O
lubrificantes O O
de O O
armas O O
, O O
veículos O O
e O O
equipamento O O
de O O
apoio O O
, O O
bem O O
como O O
combustíveis O O
. O O
O O O
plano O O
era O O
isolar O O
genes O O
para O O
enzimas O O
que O O
atacam O O
materiais O O
como O O
Kevlar COISA PESSOA
, O O
asfalto O O
, O O
cimentos O O
, O O
pinturas O O
ou O O
lubrificantes O O
, O O
e O O
colocá-los O O
dentro O O
de O O
micróbios O O
que O O
os O O
expulsariam O O
em O O
grandes O O
quantidades O O
. O O
As O O
bactérias O O
deveriam O O
ser O O
projetadas O O
para O O
se O O
auto-destruírem O O
depois O O
de O O
despejarem O O
a O O
sua O O
carga O O
de O O
destruição O O
. O O
Não O O
é O O
claro O O
quantas O O
destas O O
idéias O O
foram O O
realmente O O
realizadas O O
. O O
Mas O O
o O O
grupo O O
já O O
patenteou O O
um O O
microorganismo O O
que O O
decomporia O O
poliuretano O O
, O O
`` O O
um O O
componente O O
vulgar O O
das O O
tintas O O
de O O
navios O O
e O O
aviões O O
'' O O
, O O
incluindo O O
revestimentos O O
anti-radar O O
secretos O O
. O O
Outra O O
proposta O O
de TEMPO TEMPO
1998 TEMPO TEMPO
, O O
de O O
um O O
laboratório O O
de O O
biotecnologia O O
da O O
base O O
de O O
Brooks LOCAL PESSOA
da O PESSOA
Força ORGANIZACAO PESSOA
Aérea ORGANIZACAO PESSOA
, O O
próxima O O
de O O
San LOCAL PESSOA
Antonio LOCAL PESSOA
no O O
Texas LOCAL LOCAL
, O O
era O O
refinar O O
`` O O
biocatalizadores O O
anti-material O O
'' O O
já O O
em O O
desenvolvimento O O
. O O
Um O O
deles O O
envolvia O O
uma O O
bactéria O O
derivada O O
que O O
decompunha O O
moléculas O O
orgânicas O O
como O O
combustíveis O O
e O O
plásticos O O
. O O
As O O
propostas O O
afirmam O O
que O O
tais O O
substâncias O O
estão O O
isentas O O
das O O
restrições O O
relativas O O
à O O
guerra O O
biológica O O
. O O
Mas O O
isso O O
não O O
é O O
verdade O O
, O O
argumenta O O
Mark PESSOA PESSOA
Wheelis PESSOA PESSOA
da O O
Universidade ORGANIZACAO ORGANIZACAO
da O O
California LOCAL LOCAL
, O O
Davis LOCAL PESSOA
. O O
A O O
Convenção OBRA ORGANIZACAO
das OBRA ORGANIZACAO
Armas OBRA ORGANIZACAO
Biológicas OBRA ORGANIZACAO
e OBRA O
Tóxicas OBRA ACONTECIMENTO
de TEMPO ACONTECIMENTO
1972 TEMPO ACONTECIMENTO
proíbe O O
o O O
`` O O
desenvolvimento O O
, O O
produção O O
, O O
armazenagem O O
ou O O
aquisição O O
de O O
agentes O O
biológicos O O
ou O O
toxinas O O
'' O O
se O O
não O O
forem O O
para O O
finalidades O O
