
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for    155 toks uses nextword             err=0.0516
best stump for    106 toks uses None                 err=0.0283
best stump for     32 toks uses prevpos              err=0.0625
best stump for      9 toks uses None                 err=0.1111
best stump for      4 toks uses None                 err=0.2500
best stump for     47 toks uses nextword             err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for     24 toks uses prevword             err=0.0000
best stump for     21 toks uses prevword             err=0.0000
best stump for      5 toks uses prevpos              err=0.0000
best stump for     11 toks uses nextword             err=0.0909
best stump for      3 toks uses prevword             err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for     45 toks uses None                 err=0.0444
best stump for      7 toks uses previob              err=0.1429
best stump for      8 toks uses nextpos              err=0.0000
best stump for     10 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      8 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for     46 toks uses prevword             err=0.0652
best stump for      6 toks uses None                 err=0.3333
best stump for      2 toks uses None                 err=0.5000
best stump for     10 toks uses nextword             err=0.0000
best stump for     31 toks uses previob              err=0.0000
best stump for     11 toks uses nextword             err=0.0000
best stump for    609 toks uses prevword             err=0.0049
best stump for      6 toks uses nextword             err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      6 toks uses previob              err=0.0000
best stump for     13 toks uses previob              err=0.0000
best stump for     13 toks uses nextpos              err=0.0000
best stump for     80 toks uses previob              err=0.0000
best stump for     40 toks uses nextword             err=0.0500
best stump for     21 toks uses previob              err=0.0476
best stump for     15 toks uses None                 err=0.0667
best stump for     29 toks uses previob              err=0.0000
best stump for     14 toks uses nextpos              err=0.0000
best stump for      5 toks uses previob              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for     36 toks uses prevword             err=0.0278
best stump for      4 toks uses previob              err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for     17 toks uses nextpos              err=0.0000
best stump for     33 toks uses prevword             err=0.1515
best stump for     13 toks uses nextword             err=0.0769
