De	B-TEMPO_TEMPO_CALEND_INTERVALO
bicicleta	O
também	O
pelo	O
Ambiente	O
Durante	O
a	O
Conferência	O
das	O
Nações	O
Unidas	O
sobre	O
as	O
Alterações	O
Climáticas	O
,	O
em	O
Bali	O
,	O
o	O
Público	O
teve	O
uma	O
secção	O
designada	O
``	O
Eu	O
contribuo	O
''	O
,	O
onde	O
os	O
leitores	O
eram	O
convidados	O
a	O
dizerem	O
aquilo	O
que	O
fazem	O
pelo	O
Ambiente.	O
Não	O
parece	O
ter	O
havido	O
muitos	O
participantes	O
,	O
mas	O
houve	O
quem	O
divulgasse	O
a	O
sua	O
opção	O
pela	O
bicicleta	O
como	O
meio	O
de	O
transporte	O
principal	O
ou	O
secundário.	O
Joana	O
Marinho	O
,	O
uma	O
estudante	O
universitária	O
de	B-TEMPO_TEMPO_CALEND_DATA
25	I-TEMPO_TEMPO_CALEND_DATA
anos	I-TEMPO_TEMPO_CALEND_DATA
,	O
de	O
Vila	O
do	O
Conde	O
:	O
«Tudo	O
começou	O
quando	O
os	O
meus	O
pais	O
acoplaram	O
às	B-TEMPO_TEMPO_CALEND_HORA
bicicletas	O
cestinhos	O
de	O
verga	O
para	O
nos	O
levarem	O
,	O
a	O
mim	O
e	O
aos	O
meus	O
irmãos	O
,	O
nas	O
deslocações	O
ao	O
supermercado	O
e	O
à	O
praia.	O
A	O
partir	O
dos	O
seis	O
anos	O
,	O
eu	O
e	O
o	O
meu	O
irmão	O
mais	O
velho	O
íamos	O
para	O
a	O
escola	O
de	O
bicicleta.	O
Este	O
hábito	O
perdura	O
até	O
hoje	B-TEMPO_TEMPO_CALEND_DATA
,	O
ao	O
qual	O
se	O
acrescentaram	O
muitas	O
outras	O
medidas.»	O
Também	O
Vítor	O
Pereira	O
,	O
um	O
recém-licenciado	O
em	O
Medicina	O
,	O
28	O
anos	O
,	O
de	O
Matosinhos	B-LOCAL_HUMANO_DIVISAO
,	O
usa	O
a	O
bicicleta	O
como	O
opção	O
de	O
transporte	O
:	O
«	O
(	O
...	O
)	O
a	O
ida	O
para	O
o	O
trabalho	O
,	O
sempre	O
que	O
possível	O
uso	O
a	O
bicicleta	O
ou	O
o	O
transporte	O
público.»	O
Obrigada	O
ao	O
Hugo	O
Jorge	O
pela	O
dica.	O
São	O
admitidos	O
à	O
candidatura	O
à	O
matrícula	O
no	O
curso	O
de	O
formação	O
n.o	O
25	B-TEMPO_TEMPO_CALEND_DATA
680/2000	O
,	O
publicado	O
no	O
Diário	B-LOCAL_VIRTUAL_COMSOCIAL
da	O
República	O
,	O
2.a	O
série	O
,	O
2.a	O
série	O
,	O
especializada	O
candidatos	O
com	O
o	O
grau	O
de	O
licenciatura	O
em	O
Enfermagem	O
,	O
de	O
15	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
Dezembro	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
2000	I-TEMPO_TEMPO_CALEND_DATA
,	O
e	O
na	O
sequência	O
do	O
despacho	O
de	O
22	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
acordo	O
com	O
de	O
acordo	O
com	O
o	O
Regulamento	O
dos	O
Cursos	O
de	O
Formação	O
Especializada	O
Novembro	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
2004	I-TEMPO_TEMPO_CALEND_DATA
da	O
reitora	O
da	O
Universidade	O
de	O
Aveiro	B-LOCAL_HUMANO_DIVISAO
,	O
que	O
aprovou	O
a	O
criação	O
do	O
curso	O
de	O
formação	O
especializada	O
em	O
Enfermagem	O
,	O
deter-	O
mino	O
o	O
seguinte	O
:	O
7.o	O
1.o	O
Frequência	O
Criação	O
O	O
curso	O
de	O
formação	O
especializada	O
apenas	O
poderá	O
ser	O
frequentado	O
O	O
curso	O
de	O
formação	O
especializada	O
em	O
Enfermagem	O
,	O
de	O
curta	O
dura-	O
em	O
regime	O
de	O
tempo	O
integral.	O
ção	O
,	O
é	O
criado	O
de	O
acordo	O
com	O
o	O
Regulamento	O
sobre	O
a	O
Criação	O
de	O
Cursos	O
de	O
Formação	O
Especializada	O
na	O
Universidade	O
de	O
Aveiro.	O
A	O
criação	O
deste	B-TEMPO_TEMPO_CALEND_DATA
curso	O
de	O
formação	O
especializada	O
pretende	O
responder	O
