Juventude	B-OBRA_PLANO
em	B-TEMPO_TEMPO_CALEND
Durban	B-LOCAL_HUMANO
Às	B-TEMPO_FREQUENCIA
três	B-TEMPO_TEMPO_CALEND
horas	B-TEMPO_DURACAO
e	I-TEMPO_DURACAO
vinte	I-TEMPO_DURACAO
minutos	I-TEMPO_DURACAO
da	O
tarde	O
de	O
13	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1888	B-TEMPO_TEMPO_CALEND
nascia	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
capital	O
portuguesa	O
,	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
.	O
O	O
parto	O
ocorreu	O
no	O
quarto	O
andar	O
esquerdo	O
do	O
nº	O
4	B-TEMPO_TEMPO_CALEND
do	O
Largo	O
de	O
São	B-LOCAL_HUMANO
Carlos	B-PESSOA_INDIVIDUAL
,	O
em	O
frente	O
da	O
ópera	O
de	O
Lisboa	B-LOCAL_HUMANO
(	O
Teatro	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	B-LOCAL_HUMANO
Carlos	B-PESSOA_INDIVIDUAL
)	O
.	O
O	O
seu	O
pai	O
era	O
funcionário	O
público	O
do	O
Ministério	B-ORGANIZACAO_ADMINISTRACAO
da	I-ORGANIZACAO_ADMINISTRACAO
Justiça	B-PESSOA_CARGO
e	O
crítico	O
musical	O
do	O
«	O
Diário	B-PESSOA_GRUPOMEMBRO
de	I-PESSOA_GRUPOMEMBRO
Notícias	I-PESSOA_GRUPOMEMBRO
»	O
,	O
Joaquim	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Seabra	O
Pessoa	B-PESSOA_INDIVIDUAL
(	O
38	O
)	O
,	O
natural	O
de	O
Lisboa	B-LOCAL_HUMANO
;	O
e	O
a	O
sua	O
mãe	O
D.	B-PESSOA_INDIVIDUAL
Maria	B-PESSOA_INDIVIDUAL
Magdalena	O
Pinheiro	O
Nogueira	O
Pessoa	B-PESSOA_INDIVIDUAL
(	O
26	B-VALOR_QUANTIDADE
)	O
,	O
natural	O
da	O
Ilha	B-LOCAL_HUMANO
Terceira	I-LOCAL_HUMANO
(	O
Açores	B-LOCAL_HUMANO
)	O
.	O
Viviam	O
com	O
eles	O
a	B-TEMPO_TEMPO_CALEND
avó	O
Dionísia	O
,	O
doente	O
mental	O
e	O
duas	O
criadas	O
velhas	O
,	O
Joana	B-OBRA_REPRODUZIDA
e	O
Emília	B-COISA_OBJECTO
.	O
É	O
baptizado	O
em	B-TEMPO_TEMPO_CALEND
21	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
na	O
Igreja	B-OBRA_ARTE
dos	O
Mártires	B-PESSOA_GRUPOIND
,	O
no	O
Chiado	O
.	O
Os	O
padrinhos	O
são	O
a	O
sua	O
Tia	O
Anica	O
(	O
D.	B-PESSOA_INDIVIDUAL
Ana	O
Luísa	B-PESSOA_INDIVIDUAL
Pinheiro	O
Nogueira	O
,	O
sua	O
tia	O
materna	O
)	O
e	O
o	O
General	B-ORGANIZACAO_EMPRESA
Chaby	O
.	O
A	O
razão	O
por	O
detrás	O
do	O
nome	O
Fernando	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
encontra-se	O
relacionada	O
com	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
:	B-OBRA_REPRODUZIDA
a	O
sua	O
família	O
reclamava	O
uma	O
ligação	O
