Coletivo	B-ABSTRACCAO_DISCIPLINA
dinamarquês	O
acusa	O
Fundação	B-ORGANIZACAO_INSTITUICAO
Bienal	B-ACONTECIMENTO_ORGANIZADO
de	O
censura	O
16	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Outubro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
Apresentada	O
na	O
Bienal	B-ACONTECIMENTO_ORGANIZADO
de	O
Veneza	B-ORGANIZACAO_ADMINISTRACAO
em	B-TEMPO_TEMPO_CALEND
2003	I-TEMPO_TEMPO_CALEND
,	O
a	O
obra	O
``	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
``	O
,	O
do	O
coletivo	O
dinamarquês	O
Superflex	B-PESSOA_GRUPOMEMBRO
,	O
foi	O
selecionada	O
pela	O
curadoria	O
da	O
27ª	B-ACONTECIMENTO_ORGANIZADO
Bienal	I-ACONTECIMENTO_ORGANIZADO
de	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
mas	O
teve	O
sua	O
exibição	O
vetada	O
pela	O
Fundação	B-ORGANIZACAO_INSTITUICAO
realizadora	O
da	O
mostra.	O
Tônico	O
de	O
sabor	O
concentrado	O
e	O
propriedades	O
energéticas	O
,	O
de	B-TEMPO_TEMPO_CALEND
grande	O
sucesso	O
na	O
Europa	B-LOCAL_HUMANO
,	O
o	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
tem	O
como	O
função	O
primeira	O
a	O
crítica	O
ao	O
monopólio	O
do	O
mercado	O
e	O
a	B-TEMPO_TEMPO_CALEND
suas	O
conseqüências	O
nas	O
comunidades	O
agricultoras.	O
A	O
partir	O
de	O
um	O
estudo	O
econômico	O
da	O
cidade	O
de	O
Maués	B-LOCAL_HUMANO
,	O
no	O
Amazonas	O
,	O
detectou-se	O
o	O
impacto	O
econômico	O
da	O
redução	O
do	O
preço	O
das	O
sementes	O
de	O
guaraná	O
por	O
parte	O
das	O
grandes	O
indústrias.	O
''	B-PESSOA_INDIVIDUAL
Estabelecemos	O
o	O
valor	O
de	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
15	B-TEMPO_TEMPO_CALEND
para	O
o	O
quilo	O
de	O
sementes	O
,	O
enquanto	O
as	O
indústrias	O
pagam	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
7	B-TEMPO_TEMPO_CALEND
``	O
,	O
afirmou	O
Bjornstjerne	B-PESSOA_INDIVIDUAL
Christiansen	I-PESSOA_INDIVIDUAL
,	O
membro	O
do	O
Superflex	B-PESSOA_GRUPOMEMBRO
,	O
em	B-TEMPO_TEMPO_CALEND
entrevista	O
à	O
Folha	B-PESSOA_MEMBRO
de	I-PESSOA_MEMBRO
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
.	O
O	O
projeto	O
conta	O
com	O
o	O
apoio	O
da	O
