P	B-COISA
:	O
Então	O
tu	O
passaste	O
uma	O
infância	O
muito	O
sozinha	O
?	O
Bem	O
,	O
na	O
província	O
,	O
às	B-TEMPO
vezes	I-TEMPO
brincava	O
com	O
outros	O
meninos	O
filhos	O
do	O
...	O
ou	O
doutras	O
pessoas	O
do	O
tribunal	O
,	O
ou	O
da	O
rua	O
,	O
até.	O
Brincava	O
...	O
Ali	O
,	O
em	O
Alenquer	O
.	O
Porque	O
depois	O
viemos	O
,	O
voltámos	O
para	O
Lisboa	B-LOCAL
,	O
o	O
meu	O
pai	O
esteve	O
então	O
,	O
se	O
não	O
me	O
engano	O
,	O
como	O
...	O
chefe	O
de	B-PESSOA
gabinete	O
do	O
Ministro	B-PESSOA
da	I-PESSOA
Justiça	B-LOCAL
,	O
por	O
isso	O
,	O
voltámos	O
,	O
que	O
era	O
o	O
dr.	O
Catanho	O
de	O
Meneses	B-PESSOA
.	O
Voltámos	O
para	O
Lisboa	B-LOCAL
e	B-ORGANIZACAO
foi	O
quando	O
saímos	O
de	O
Santa	B-LOCAL
Quitéria	O
para	O
a	O
Rua	B-LOCAL
Sampaio	O
Pina	B-PESSOA
.	O
E	O
na	O
Rua	B-LOCAL
Sampaio	O
Pina	B-PESSOA
,	O
que	O
era	O
ao	O
lado	O
do	O
Rádio	B-LOCAL
Clube	O
Português	B-LOCAL
,	O
a	O
casa	O
que	O
ainda	O
existe	O
hoje	B-TEMPO
e	I-TEMPO
faz	O
esquina	O
para	O
a	O
rua	O
Castilho	O
,	O
no	O
primeiro	O
andar	B-OBRA
,	O
então	O
alugámos	O
essa	O
casa	O
,	O
e	O
aí	O
então	O
é	O
que	O
eu	O
comecei	O
foi	O
a	O
aprender	O
o	O
alemão	O
com	O
uma	O
preceptora	O
alemã	O
,	O
que	O
era	O
...	O
que	O
vinha	O
três	O
vezes	O
por	O
semana	B-TEMPO
,	O
dar-me	O
lição	O
de	O
alemão.	O
Não	B-PESSOA
estava	O
lá	O
em	O
casa	O
,	O
havia	O
preceptoras	O
internas	O
,	O
que	O
estavam	O
dentro	O
,	O
que	O
eram	O
internas	O
,	O
estavam	O
lá	O
,	O
nas	O
casas	O
dos	O
respectivos	O
alunos	O
,	O
mas	O
aquela	O
senhora	O
,	O
a	O
Kaethe	O
Goethe	O
,	O
não.	O
Vinha	O
três	O
vezes	O
por	O
semana	B-TEMPO
dar-me	O
a	O
lição	O
de	O
alemão.	O
D	O
:	O
E	O
tu	O
gostavas	O
?	O
Gostava	O
!	B-OBRA
Tinha	O
uns	O
livros	O
assim	O
muito	O
engraçados	O
,	O
que	O
ainda	O
hoje	B-TEMPO
conheces	O
,	O
que	O
conservo.	O
D	O
:	O
E	O
ela	O
era	O
professora	O
?	O
Ela	O
era	O
professora	O
mesmo	O
,	O
ou	O
?	O
Era	O
professora	O
,	O
quero	O
dizer	O
ela	O
veio	O
para	O
Portugal	B-LOCAL
dar	O
aulas.	O
Não	B-PESSOA
sei	O
se	O
veio	O
interna	O
para	O
uma	O
casa	O
e	O
depois	O
deixou	O
,	O
estava	O
...	O
D	O
:	O
Mas	O
enfim	O
,	O
não	O
é	O
uma	O
senhora	O
alemã	O
que	O
dava	O
umas	O
aulinhas	O
para	O
...	O
para	O
Não	B-PESSOA
,	O
ela	O
era	O
uma	O
senhora	O
que	O
tinha	O
vindo	O
da	O
Alemanha	B-LOCAL
só	O
para	O
ser	O
professora	O
,	O
e	O
tinha	O
...	O
tinha-se	O
instalado	O
numa	O
casa	O
que	O
era	O
o	O
lar	O
das	O
...	O
das	O
professoras	O
de	O
alemão	O
,	O
que	O
havia	O
nessa	O
altura	O
,	O
na	O
Avenida	B-LOCAL
,	O
perto	B-TEMPO
da	I-TEMPO
Praça	B-LOCAL
da	I-LOCAL
Alegria	O
.	O
Lembro-me	O
de	O
ela	O
lá	O
me	O
ter	O
levado	O
e	O
tenho	O
aí	O
até	O
fotografias	O
de	O
um	O
cão	O
,	O
desse	O
dito	O
lar	O
,	O
a	O
querer	O
abraçar-me	O
,	O
coisa	O
que	O
eu	O
não	O
gostei	O
nada	O
,	O
como	O
continuo	O
a	O
não	O
gostar	O
de	O
abraços	O
de	O
cão.	O
D	O
:	O
Mas	O
já	O
tinhas	O
o	O
Sirius	O
...	O
Não	O
,	O
o	O
Sirius	O
veio	O
muitíssimo	O
mais	O
tarde	B-TEMPO
.	O
Não	B-PESSOA
,	O
na	O
Sampaio	O
Pina	B-PESSOA
não	O
tinha	O
o	O
Sirius	O
,	O
não	O
tinha	O
cão	O
nenhum.	O
D	O
:	O
Então	O
tinhas	O
a	O
tua	O
mãe	O
,	O
como	O
professora	O
de	O
tudo	O
o	O
resto	O
e	O
a	O
senhora	O
Pois	O
,	O
o	O
resto	O
,	O
tinha	O
grandes	O
amigas	O
sempre.	O
Constante	O
,	O
até	O
era	O
,	O
mais	O
até	O
que	O
as	O
minhas	O
primas	O
...	O
tinha	O
as	O
minhas	O
primas	O
,	O
e	O
tinha	O
a	O
Joaninha	O
Sampaio	O
e	O
Melo	B-PESSOA
,	O
que	O
era	O
filha	O
da	O
maior	O
amiga	O
da	O
minha	O
mãe	O
,	O
da	O
Lourinhã	O
.	O
Autor	O
Mensagem	B-OBRA
joseep	O
Site	O
Admin	O
Registo	O
:	O
12	B-VALOR
Apr	O
2005	B-ACONTECIMENTO
Mensagens	O
:	O
4	O
Local/Origem	O
:	O
Lisboa	B-LOCAL
(	O
Portugal	B-LOCAL
)	O
Colocada	O
:	O
Quarta-feira	O
Maio	B-TEMPO
04	O
,	O
2005	B-ACONTECIMENTO
23:36	O
Assunto	O
:	O
Como	O
efectuar	O
um	O
Registo	O
(	O
tem	O
vantagens	O
)	O
Gostaria	O
muito	O
,	O
que	O
os	O
Acólitos	O
,	O
se	O
registassem	O
no	O
forum	O
,	O
de	O
modo	O
a	O
ser	O
algo	O
organizado	O
,	O
principalmente	O
os	O
da	O
AAPSE	O
e	O
é	O
muito	O
simples	O
,	O
querem	O
ver.	O
1º-Vão	O
ao	O
cabeçalho	O
,	O
onde	O
estão	O
várias	O
teclas	O
,	O
uma	O
delas	O
REGISTAR-SE	O
,	O
e	O
seleccionam.	O
2º-	O
Aceitam	O
o	O
contrato	O
,	O
3º	O
Preenchem	O
o	O
que	O
acharem	O
necessário	O
e	O
SUBMETEM	O
(	O
NAO	O
ESQUECER	O
USERNAME	O
,	O
PASS	O
e	O
vosso	O
e-mail	O
)	O
.	O
4º	O
Vão	O
ao	O
vosso	O
e-mail	O
,	O
que	O
colocaram	O
no	O
registo	O
,	O
e	O
vão	O
ver	O
que	O
receberam	O
um	O
novo	O
mail	O
,	O
abrem	O
e	O
carregam	O
no	O
link	O
para	O
concluir	O
o	O
registo	O
(	O
PASSO	O
MUITO	O
IMPORTANTE	O
,	O
dúvidas	O
contactem-me	O
)	O
5º	O
-	O
Quando	O
acederem	O
ao	O
forum	O
da	O
próxima	O
vez	O
vão	O
a	O
ENTRAR	O
(	O
em	O
cima	O
)	O
e	O
digitam	O
o	O
vosso	O
USERNAME	O
e	O
PASS.	O
Qualquer	O
dúvida	O
contactem	O
!	B-OBRA
_________________	O
Um	O
abraço	O
,	O
José	B-PESSOA
Eduardo	I-PESSOA
Pires	I-PESSOA
Ass	O
.	O
de	O
Acólitos	O
da	O
Paróquia	O
de	O
Santo	B-PESSOA
Eugénio	O
Lápis-lazúli	O
,	O
conhecido	O
também	O
como	O
lápis	O
,	O
é	O
uma	O
rocha	O
metamórfica	O
de	O
cor	O
azul	O
utilizada	O
como	O
gema	O
ou	O
como	O
rocha	O
ornamental	O
utilizada	O
desde	O
antes	B-TEMPO
de	O
7000	O
a.C.	O
em	O
Mehrgarh	O
na	B-TEMPO
Índia	B-LOCAL
,	O
situado	O
nos	B-TEMPO
dias	I-TEMPO
de	I-TEMPO
hoje	I-TEMPO
no	O
Paquistão	B-ORGANIZACAO
.	O
A	O
sua	O
azul-escura	O
e	O
opaca	O
,	O
fez	O
com	O
que	O
esta	O
gema	O
fosse	O
altamente	O
apreciada	O
pelos	O
faraós	O
egípcios	O
,	O
como	O
pode	O
ser	O
visto	O
por	O
seu	O
uso	O
proeminente	O
em	O
muitos	O
dos	O
tesouros	O
recuperados	O
dos	O
túmulos	O
faraônicos.	O
É	O
ainda	O
extremamente	O
popular	O
hoje	B-TEMPO
.	O
Trata-se	O
de	O
uma	O
rocha	O
e	O
não	O
de	O
um	O
mineral	O
porque	O
é	O
composto	O
de	O
vários	O
minerais.	O
A	O
primeira	O
parte	O
do	O
nome	O
,	O
lápis	O
,	O
em	O
latim	O
significa	O
pedra.	O
A	O
segunda	O
parte	O
,	O
lazúli	O
,	O
é	O
a	O
forma	O
genitiva	O
no	O
latim	O
,	O
lazulum	O
,	O
que	O
veio	O
do	O
árabe	O
(	O
al	O
)	O
-	O
lazward	O
,	O
que	O
veio	O
do	O
persa	O
lazhward	O
,	O
que	O
veio	O
do	O
sânscrito	O
Raja	O
Warta	O
significando	O
anel	O
,	O
vida	O
do	O
rei.	O
Lazúli	O
era	O
