Quadrinhos	B-ABSTRACCAO_DISCIPLINA
e	B-PESSOA_INDIVIDUAL
pop	O
art	O
-	O
É	O
neste	B-TEMPO_TEMPO_CALEND
processo	O
de	O
renovação	O
da	O
sociedade	O
norte-americana	O
que	O
a	O
pop	O
art	O
ganha	O
um	O
impulso	O
e	B-PESSOA_INDIVIDUAL
,	O
de	O
certa	O
forma	O
,	O
contribui	O
para	O
que	O
os	O
quadrinhos	O
voltem	O
de	O
novo	O
a	O
ser	O
tratados	O
como	O
coisa	O
séria.	O
Os	O
artistas	O
procuravam	O
demolir	O
a	O
rigidez	O
e	B-PESSOA_INDIVIDUAL
a	O
seriedade	O
das	O
artes	O
plásticas	O
através	O
de	O
ícones	O
da	O
sociedade	O
ocidental.	O
Garrafas	O
de	O
Coca	B-COISA_CLASSE
Cola	I-COISA_CLASSE
,	O
latas	O
de	O
sopa	O
,	O
símbolos	O
gráficos	O
usados	O
em	O
estações	O
de	O
metrô	O
eram	O
usados	O
em	O
associações	O
livres	O
que	O
permitiam	O
o	O
estabelecimento	O
de	O
relações	O
simbólicas	O
e	B-PESSOA_INDIVIDUAL
afetivas	O
com	O
as	O
obras	O
em	O
questão.	O
Era	O
uma	O
arte	B-OBRA_REPRODUZIDA
que	O
se	O
valia	O
da	O
repetição	O
de	O
signos	O
conhecidos	O
no	O
intuito	O
de	O
buscar	O
uma	O
identificação	O
com	O
o	O
público	O
a	O
que	O
ela	O
se	O
destinava.	O
A	O
idéia	O
era	O
eliminar	O
as	O
barreiras	O
entre	O
as	O
culturas	O
erudita	O
e	B-PESSOA_INDIVIDUAL
popular.	O
Sendo	O
assim	O
,	O
é	O
compreensível	O
que	O
os	O
grandes	O
nomes	O
da	O
pop	O
art	O
utilizassem	O
também	O
as	O
histórias	O
em	O
quadrinhos	O
como	O
um	O
elemento	O
a	O
mais	O
dentro	O
de	O
seus	O
trabalhos.	O
Afinal	O
,	O
a	O
linguagem	O
das	O
HQs	B-COISA_CLASSE
,	O
um	O
balão	O
de	O
texto	O
ligado	O
a	O
uma	O
imagem	O
,	O
possibilita	O
a	O
compreensão	O
imediata	O
da	O
mensagem.	O
Além	O
do	O
que	O
,	O
graficamente	O
,	O
eles	O
dispunham	O
de	O
inúmeras	O
referências	O
que	O
serviriam	O
de	O
parâmetro	O
para	O
os	O
pintores	O
pop.	O
Isso	O
pode	O
ser	O
visto	O
na	O
obra	O
de	O
Roy	B-PESSOA_INDIVIDUAL
Lichtenstein	I-PESSOA_INDIVIDUAL
e	I-PESSOA_INDIVIDUAL
seus	O
painéis	O
diretamente	O
copiados	O
de	O
tiras	O
de	O
jornal	O
e	B-PESSOA_INDIVIDUAL
,	O
em	O
menor	O
escala	O
,	O
no	O
trabalho	O
de	O
Andy	O
Warhol	O
.	O
Neste	O
caso	O
,	O
mais	O
em	O
decorrência	O
da	O
forma	O
como	O
ele	O
dispunha	O
suas	O
obras	O
-	O
utilizando	O
a	O
narrativa	O
seqüencial	O
em	O
cores	O
primárias	O
nos	O
célebres	O
retratos	O
de	O
Marilyn	O
Monroe	B-PESSOA_INDIVIDUAL
,	O
Mao	O
Tsé	O
Tung	O
e	B-PESSOA_INDIVIDUAL
James	B-PESSOA_INDIVIDUAL
Dean	O
-	O
do	O
que	O
propriamente	O
por	B-TEMPO_FREQUENCIA
se	O
comportar	O
como	O
um	O
quadrinhista	O
tradicional.	O
Ao	O
levar	O
para	O
as	O
galerias	O
a	O
estética	O
das	O
HQs	B-COISA_CLASSE
,	O
a	O
pop	O
arte	O
fez	O
com	O
que	O
os	O
quadrinhos	O
ganhassem	O
de	O
volta	O
o	O
respeito	O
que	O
haviam	O
perdido	O
na	O
década	B-TEMPO_TEMPO_CALEND
de	B-TEMPO_GENERICO
50	B-VALOR_QUANTIDADE
.	O
Claro	B-ABSTRACCAO_IDEIA
que	O
isso	O
não	O
seria	O
possível	O
sem	O
a	O
renovação	O
promovida	O
pelos	O
Comix	B-OBRA_REPRODUZIDA
.	O
Com	O
a	O
pop	O
art	O
os	O
quadrinhos	O
passaram	O
a	O
ser	O
aceitos	O
por	B-TEMPO_FREQUENCIA
uma	O
camada	O
mais	O
intelectualizada	O
da	O
sociedade.	O
Jules	O
Feiffer	O
tem	O
suas	O
tiras	O
publicadas	O
nas	O
páginas	O
da	O
elitista	O
New	B-LOCAL_HUMANO
Yorker.	O
Na	O
Europa	B-LOCAL_HUMANO
,	O
François	B-PESSOA_INDIVIDUAL
Truffaut	O
,	O
Alain	O
Resnais	O
,	O
Federico	O
Fellini	O
e	B-PESSOA_INDIVIDUAL
Umberto	O
Eco	O
,	O
teorizam	O
sobre	O
as	O
HQs	B-COISA_CLASSE
e	B-PESSOA_INDIVIDUAL
declaram	O
seu	O
amor	O
aos	O
quadrinistas	O
norte-americanos.	O
Com	O
a	O
benção	O
da	O
pop	O
art	O
,	O
finalmente	O
as	O
histórias	O
em	O
quadrinhos	O
viraram	O
coisa	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
gente	O
grande.	O
A	O
quebra	O
de	O
valores	O
promovida	O
pela	O
pop	O
art	O
,	O
pela	O
contracultura	O
,	O
pelos	O
comix	O
e	B-PESSOA_INDIVIDUAL
pela	O
beat	O
generation	O
influenciou	O
ainda	O
o	O
jornalismo	O
e	B-PESSOA_INDIVIDUAL
a	O
literatura.	O
Hunter	O
S.	B-ORGANIZACAO_EMPRESA
Thompson	O
e	B-PESSOA_INDIVIDUAL
Tom	O
Wolfe	O
criam	O
o	O
``	O
new	O
journalism	O
''	O
e	O
inventam	O
uma	O
nova	O
forma	O
de	O
narrativa	O
,	O
misturando	O
a	O
notícia	O
a	O
impressões	O
pessoais	O
e	B-PESSOA_INDIVIDUAL
estados	O
alterados	O
de	O
consciência.	O
Se	O
,	O
por	O
um	O
lado	O
,	O
Thompson	O
experimentou	O
todos	O
os	O
tipos	O
de	O
substâncias	O
legais	O
e	B-PESSOA_INDIVIDUAL
ilegais	O
para	O
escrever	O
Fear	B-OBRA_REPRODUZIDA
&	B-PESSOA_CARGO
amp	I-PESSOA_CARGO
;	O
Loathing	O
in	B-ABSTRACCAO_DISCIPLINA
Las	B-LOCAL_HUMANO
Vegas	I-LOCAL_HUMANO
,	O
um	O
relato	O
de	O
suas	O
maluquices	O
na	O
capital	O
mundial	O
do	O
jogo	O
,	O
Wolfe	O
desenvolveu	O
uma	O
linguagem	O
acelerada	O
e	B-PESSOA_INDIVIDUAL
dinâmica	O
parecida	O
com	O
as	O
narrativas	O
das	O
HQs	B-COISA_CLASSE
.	O
Inclusive	O
com	O
a	O
utilização	O
de	O
onomatopéias	O
:	O
''	O
mesmo	O
que	O
alguém	O
quebrasse	O
a	O
corrente	O
e	B-PESSOA_INDIVIDUAL
em	O
que	O
todos	O
fluíam	O
e	B-PESSOA_INDIVIDUAL
fosse	O
bater	O
de	O
encontro	O
ao	O
asfalto	O
da	O
Grande	O
Estrada	B-LOCAL_HUMANO
a	O
noventa	B-TEMPO_TEMPO_CALEND
quilômetros	O
por	B-TEMPO_FREQUENCIA
hora	O
-	O
eles	O
possuiam	O
isso	O
gravado	O
na	O
fita	O
-	O
e	O
podiam	O
tocar	O
muitas	O
vezes	B-TEMPO_FREQUENCIA
em	O
retardos	O
variáveis	O
,	O
skakkkkkkkkkkk-akkkkkkkk-akkkkk-akkkkkeeeeeeeeeeeeeeeeeeeeeeeeeeeee	O
eeeeeeeeeeeeeeeeeeeeeeeee	O
-	O
Nua	O
em	O
Pêlo	O
cada	O
vez	O
mais	O
esquisita	O
enrolada	O
na	O
manta	O
preta	O
,	O
tremendo	O
e	B-PESSOA_INDIVIDUAL
depois	B-TEMPO_TEMPO_CALEND
se	O
levantando	O
feito	O
uma	O
alma	O
penada	O
...	O
...	O
É	O
loucura	O
,	O
delírio	O
,	O
piração	O
,	O
fora	O
da	O
realidade	O
,	O
com	O
metade	O
do	O
mesencéfalo	O
repetindo	O
VOCÊ	O
ESTÁ	O
MUITO	O
DOIDO	O
e	B-PESSOA_INDIVIDUAL
a	O
outra	O
metade	O
repetindo	O
VOCÊ	O
É	O
DEUS	O
...	O
Homem	B-PESSOA_GRUPOMEMBRO
home	O
on	B-PESSOA_GRUPOMEMBRO
the	O
range	O
,	O
cuspindo	O
e	B-PESSOA_INDIVIDUAL
buzinando	O
fonfonrofonfon	O
aquela	O
maldita	O
ladainha	O
ao	O
microfone	O
-	O
Home	O
...	O
home	O
...	O
on	B-PESSOA_GRUPOMEMBRO
the	O
ra-a-a-a-a-ange	O
...	O
''	O
Tom	O
Wolfe	O
-	O
O	O
Teste	O
do	O
Ácido	O
do	O
Refresco	O
Elétrico	O
Essa	O
foi	O
a	O
estética	O
vigente	O
dos	O
primeiros	O
textos	O
da	O
literatura	O
underground	O
norte-americana.	O
Em	B-TEMPO_TEMPO_CALEND
livros	O
como	O
V	B-PESSOA_INDIVIDUAL
,	O
O	O
Leilão	O
do	O
Lote	O
49	O
e	B-PESSOA_INDIVIDUAL
Arco	O
Íris	O
da	O
Gravidade	O
,	O
todos	O
publicados	O
no	O
período	O
que	O
vai	O
de	O
61	O
a	O
73	B-VALOR_QUANTIDADE
,	O
o	O
escritor	O
Thomas	B-PESSOA_INDIVIDUAL
Pynchon	O
freqüentemente	O
adota	O
um	O
modelo	O
de	O
narrativa	O
semelhante	O
ao	O
das	O
histórias	O
em	O
quadrinhos	O
e	B-PESSOA_INDIVIDUAL
nos	O
diverte	O
com	O
aviões	O
sendo	O
abatidos	O
por	B-TEMPO_FREQUENCIA
uma	O
rajada	O
de	O
tortas	O
de	O
creme	O
,	O
sátiras	O
ao	O
quadrinho	O
de	O
herói	O
(	O
o	O
personagem	O
Homem	B-PESSOA_GRUPOMEMBRO
Foguete	O
é	O
claramente	O
inspirado	O
no	O
Capitão	B-OBRA_REPRODUZIDA
